office,county,candidate,party,votes
U.S. Senate,ADAIR,Chuck Grassley,Republican Party,2665
U.S. Senate,ADAIR,David Osterberg,Democratic Pary,715
U.S. Senate,ADAIR,Margaret Trowe,,11
U.S. Senate,ADAIR,Susan Marcus,Natural Law Party,21
U.S. Senate,ADAIR,Scattering,,0
U.S. Senate,ADAIR,Total,,3412
U.S. Senate,ADAMS,Chuck Grassley,Republican Party,1252
U.S. Senate,ADAMS,David Osterberg,Democratic Pary,406
U.S. Senate,ADAMS,Margaret Trowe,,8
U.S. Senate,ADAMS,Susan Marcus,Natural Law Party,16
U.S. Senate,ADAMS,Scattering,,0
U.S. Senate,ADAMS,Total,,1682
U.S. Senate,ALLAMAKEE,Chuck Grassley,Republican Party,3395
U.S. Senate,ALLAMAKEE,David Osterberg,Democratic Pary,1201
U.S. Senate,ALLAMAKEE,Margaret Trowe,,16
U.S. Senate,ALLAMAKEE,Susan Marcus,Natural Law Party,36
U.S. Senate,ALLAMAKEE,Scattering,,1
U.S. Senate,ALLAMAKEE,Total,,4649
U.S. Senate,APPANOOSE,Chuck Grassley,Republican Party,2733
U.S. Senate,APPANOOSE,David Osterberg,Democratic Pary,1197
U.S. Senate,APPANOOSE,Margaret Trowe,,10
U.S. Senate,APPANOOSE,Susan Marcus,Natural Law Party,24
U.S. Senate,APPANOOSE,Scattering,,2
U.S. Senate,APPANOOSE,Total,,3966
U.S. Senate,AUDUBON,Chuck Grassley,Republican Party,1788
U.S. Senate,AUDUBON,David Osterberg,Democratic Pary,726
U.S. Senate,AUDUBON,Margaret Trowe,,8
U.S. Senate,AUDUBON,Susan Marcus,Natural Law Party,3
U.S. Senate,AUDUBON,Scattering,,0
U.S. Senate,AUDUBON,Total,,2525
U.S. Senate,BENTON,Chuck Grassley,Republican Party,6200
U.S. Senate,BENTON,David Osterberg,Democratic Pary,2438
U.S. Senate,BENTON,Margaret Trowe,,10
U.S. Senate,BENTON,Susan Marcus,Natural Law Party,56
U.S. Senate,BENTON,Scattering,,0
U.S. Senate,BENTON,Total,,8704
U.S. Senate,BLACK HAWK,Chuck Grassley,Republican Party,25792
U.S. Senate,BLACK HAWK,David Osterberg,Democratic Pary,13365
U.S. Senate,BLACK HAWK,Margaret Trowe,,73
U.S. Senate,BLACK HAWK,Susan Marcus,Natural Law Party,192
U.S. Senate,BLACK HAWK,Scattering,,15
U.S. Senate,BLACK HAWK,Total,,39437
U.S. Senate,BOONE,Chuck Grassley,Republican Party,5927
U.S. Senate,BOONE,David Osterberg,Democratic Pary,2915
U.S. Senate,BOONE,Margaret Trowe,,24
U.S. Senate,BOONE,Susan Marcus,Natural Law Party,73
U.S. Senate,BOONE,Scattering,,1
U.S. Senate,BOONE,Total,,8940
U.S. Senate,BREMER,Chuck Grassley,Republican Party,6375
U.S. Senate,BREMER,David Osterberg,Democratic Pary,1787
U.S. Senate,BREMER,Margaret Trowe,,14
U.S. Senate,BREMER,Susan Marcus,Natural Law Party,37
U.S. Senate,BREMER,Scattering,,1
U.S. Senate,BREMER,Total,,8214
U.S. Senate,BUCHANAN,Chuck Grassley,Republican Party,5228
U.S. Senate,BUCHANAN,David Osterberg,Democratic Pary,2008
U.S. Senate,BUCHANAN,Margaret Trowe,,17
U.S. Senate,BUCHANAN,Susan Marcus,Natural Law Party,61
U.S. Senate,BUCHANAN,Scattering,,1
U.S. Senate,BUCHANAN,Total,,7315
U.S. Senate,BUENA VISTA,Chuck Grassley,Republican Party,4266
U.S. Senate,BUENA VISTA,David Osterberg,Democratic Pary,1286
U.S. Senate,BUENA VISTA,Margaret Trowe,,15
U.S. Senate,BUENA VISTA,Susan Marcus,Natural Law Party,23
U.S. Senate,BUENA VISTA,Scattering,,1
U.S. Senate,BUENA VISTA,Total,,5591
U.S. Senate,BUTLER,Chuck Grassley,Republican Party,4007
U.S. Senate,BUTLER,David Osterberg,Democratic Pary,959
U.S. Senate,BUTLER,Margaret Trowe,,20
U.S. Senate,BUTLER,Susan Marcus,Natural Law Party,16
U.S. Senate,BUTLER,Scattering,,1
U.S. Senate,BUTLER,Total,,5003
U.S. Senate,CALHOUN,Chuck Grassley,Republican Party,2989
U.S. Senate,CALHOUN,David Osterberg,Democratic Pary,845
U.S. Senate,CALHOUN,Margaret Trowe,,9
U.S. Senate,CALHOUN,Susan Marcus,Natural Law Party,27
U.S. Senate,CALHOUN,Scattering,,0
U.S. Senate,CALHOUN,Total,,3870
U.S. Senate,CARROLL,Chuck Grassley,Republican Party,5243
U.S. Senate,CARROLL,David Osterberg,Democratic Pary,1785
U.S. Senate,CARROLL,Margaret Trowe,,16
U.S. Senate,CARROLL,Susan Marcus,Natural Law Party,50
U.S. Senate,CARROLL,Scattering,,1
U.S. Senate,CARROLL,Total,,7095
U.S. Senate,CASS,Chuck Grassley,Republican Party,3926
U.S. Senate,CASS,David Osterberg,Democratic Pary,998
U.S. Senate,CASS,Margaret Trowe,,22
U.S. Senate,CASS,Susan Marcus,Natural Law Party,26
U.S. Senate,CASS,Scattering,,1
U.S. Senate,CASS,Total,,4973
U.S. Senate,CEDAR,Chuck Grassley,Republican Party,4254
U.S. Senate,CEDAR,David Osterberg,Democratic Pary,1812
U.S. Senate,CEDAR,Margaret Trowe,,25
U.S. Senate,CEDAR,Susan Marcus,Natural Law Party,34
U.S. Senate,CEDAR,Scattering,,0
U.S. Senate,CEDAR,Total,,6125
U.S. Senate,CERRO GORDO,Chuck Grassley,Republican Party,11065
U.S. Senate,CERRO GORDO,David Osterberg,Democratic Pary,5127
U.S. Senate,CERRO GORDO,Margaret Trowe,,36
U.S. Senate,CERRO GORDO,Susan Marcus,Natural Law Party,77
U.S. Senate,CERRO GORDO,Scattering,,1
U.S. Senate,CERRO GORDO,Total,,16306
U.S. Senate,CHEROKEE,Chuck Grassley,Republican Party,3542
U.S. Senate,CHEROKEE,David Osterberg,Democratic Pary,1113
U.S. Senate,CHEROKEE,Margaret Trowe,,13
U.S. Senate,CHEROKEE,Susan Marcus,Natural Law Party,32
U.S. Senate,CHEROKEE,Scattering,,1
U.S. Senate,CHEROKEE,Total,,4701
U.S. Senate,CHICKASAW,Chuck Grassley,Republican Party,4175
U.S. Senate,CHICKASAW,David Osterberg,Democratic Pary,1159
U.S. Senate,CHICKASAW,Margaret Trowe,,13
U.S. Senate,CHICKASAW,Susan Marcus,Natural Law Party,29
U.S. Senate,CHICKASAW,Scattering,,4
U.S. Senate,CHICKASAW,Total,,5380
U.S. Senate,CLARKE,Chuck Grassley,Republican Party,2412
U.S. Senate,CLARKE,David Osterberg,Democratic Pary,1004
U.S. Senate,CLARKE,Margaret Trowe,,9
U.S. Senate,CLARKE,Susan Marcus,Natural Law Party,45
U.S. Senate,CLARKE,Scattering,,2
U.S. Senate,CLARKE,Total,,3472
U.S. Senate,CLAY,Chuck Grassley,Republican Party,4306
U.S. Senate,CLAY,David Osterberg,Democratic Pary,1490
U.S. Senate,CLAY,Margaret Trowe,,8
U.S. Senate,CLAY,Susan Marcus,Natural Law Party,25
U.S. Senate,CLAY,Scattering,,0
U.S. Senate,CLAY,Total,,5829
U.S. Senate,CLAYTON,Chuck Grassley,Republican Party,4724
U.S. Senate,CLAYTON,David Osterberg,Democratic Pary,1658
U.S. Senate,CLAYTON,Margaret Trowe,,15
U.S. Senate,CLAYTON,Susan Marcus,Natural Law Party,24
U.S. Senate,CLAYTON,Scattering,,0
U.S. Senate,CLAYTON,Total,,6421
U.S. Senate,CLINTON,Chuck Grassley,Republican Party,9379
U.S. Senate,CLINTON,David Osterberg,Democratic Pary,5544
U.S. Senate,CLINTON,Margaret Trowe,,25
U.S. Senate,CLINTON,Susan Marcus,Natural Law Party,39
U.S. Senate,CLINTON,Scattering,,1
U.S. Senate,CLINTON,Total,,14988
U.S. Senate,CRAWFORD,Chuck Grassley,Republican Party,3723
U.S. Senate,CRAWFORD,David Osterberg,Democratic Pary,1143
U.S. Senate,CRAWFORD,Margaret Trowe,,7
U.S. Senate,CRAWFORD,Susan Marcus,Natural Law Party,20
U.S. Senate,CRAWFORD,Scattering,,0
U.S. Senate,CRAWFORD,Total,,4893
U.S. Senate,DALLAS,Chuck Grassley,Republican Party,9482
U.S. Senate,DALLAS,David Osterberg,Democratic Pary,4057
U.S. Senate,DALLAS,Margaret Trowe,,28
U.S. Senate,DALLAS,Susan Marcus,Natural Law Party,109
U.S. Senate,DALLAS,Scattering,,5
U.S. Senate,DALLAS,Total,,13681
U.S. Senate,DAVIS,Chuck Grassley,Republican Party,2014
U.S. Senate,DAVIS,David Osterberg,Democratic Pary,855
U.S. Senate,DAVIS,Margaret Trowe,,5
U.S. Senate,DAVIS,Susan Marcus,Natural Law Party,35
U.S. Senate,DAVIS,Scattering,,0
U.S. Senate,DAVIS,Total,,2909
U.S. Senate,DECATUR,Chuck Grassley,Republican Party,2538
U.S. Senate,DECATUR,David Osterberg,Democratic Pary,827
U.S. Senate,DECATUR,Margaret Trowe,,7
U.S. Senate,DECATUR,Susan Marcus,Natural Law Party,29
U.S. Senate,DECATUR,Scattering,,1
U.S. Senate,DECATUR,Total,,3402
U.S. Senate,DELAWARE,Chuck Grassley,Republican Party,4537
U.S. Senate,DELAWARE,David Osterberg,Democratic Pary,1377
U.S. Senate,DELAWARE,Margaret Trowe,,9
U.S. Senate,DELAWARE,Susan Marcus,Natural Law Party,21
U.S. Senate,DELAWARE,Scattering,,0
U.S. Senate,DELAWARE,Total,,5944
U.S. Senate,DES MOINES,Chuck Grassley,Republican Party,6642
U.S. Senate,DES MOINES,David Osterberg,Democratic Pary,6047
U.S. Senate,DES MOINES,Margaret Trowe,,8
U.S. Senate,DES MOINES,Susan Marcus,Natural Law Party,63
U.S. Senate,DES MOINES,Scattering,,0
U.S. Senate,DES MOINES,Total,,12760
U.S. Senate,DICKINSON,Chuck Grassley,Republican Party,4220
U.S. Senate,DICKINSON,David Osterberg,Democratic Pary,1675
U.S. Senate,DICKINSON,Margaret Trowe,,25
U.S. Senate,DICKINSON,Susan Marcus,Natural Law Party,39
U.S. Senate,DICKINSON,Scattering,,3
U.S. Senate,DICKINSON,Total,,5962
U.S. Senate,DUBUQUE,Chuck Grassley,Republican Party,17166
U.S. Senate,DUBUQUE,David Osterberg,Democratic Pary,9824
U.S. Senate,DUBUQUE,Margaret Trowe,,55
U.S. Senate,DUBUQUE,Susan Marcus,Natural Law Party,203
U.S. Senate,DUBUQUE,Scattering,,5
U.S. Senate,DUBUQUE,Total,,27253
U.S. Senate,EMMET,Chuck Grassley,Republican Party,2290
U.S. Senate,EMMET,David Osterberg,Democratic Pary,1118
U.S. Senate,EMMET,Margaret Trowe,,5
U.S. Senate,EMMET,Susan Marcus,Natural Law Party,25
U.S. Senate,EMMET,Scattering,,0
U.S. Senate,EMMET,Total,,3438
U.S. Senate,FAYETTE,Chuck Grassley,Republican Party,5520
U.S. Senate,FAYETTE,David Osterberg,Democratic Pary,1894
U.S. Senate,FAYETTE,Margaret Trowe,,24
U.S. Senate,FAYETTE,Susan Marcus,Natural Law Party,40
U.S. Senate,FAYETTE,Scattering,,1
U.S. Senate,FAYETTE,Total,,7479
U.S. Senate,FLOYD,Chuck Grassley,Republican Party,4452
U.S. Senate,FLOYD,David Osterberg,Democratic Pary,1423
U.S. Senate,FLOYD,Margaret Trowe,,12
U.S. Senate,FLOYD,Susan Marcus,Natural Law Party,50
U.S. Senate,FLOYD,Scattering,,1
U.S. Senate,FLOYD,Total,,5938
U.S. Senate,FRANKLIN,Chuck Grassley,Republican Party,3129
U.S. Senate,FRANKLIN,David Osterberg,Democratic Pary,722
U.S. Senate,FRANKLIN,Margaret Trowe,,6
U.S. Senate,FRANKLIN,Susan Marcus,Natural Law Party,16
U.S. Senate,FRANKLIN,Scattering,,4
U.S. Senate,FRANKLIN,Total,,3877
U.S. Senate,FREMONT,Chuck Grassley,Republican Party,1957
U.S. Senate,FREMONT,David Osterberg,Democratic Pary,633
U.S. Senate,FREMONT,Margaret Trowe,,6
U.S. Senate,FREMONT,Susan Marcus,Natural Law Party,25
U.S. Senate,FREMONT,Scattering,,1
U.S. Senate,FREMONT,Total,,2622
U.S. Senate,GREENE,Chuck Grassley,Republican Party,2771
U.S. Senate,GREENE,David Osterberg,Democratic Pary,1053
U.S. Senate,GREENE,Margaret Trowe,,6
U.S. Senate,GREENE,Susan Marcus,Natural Law Party,35
U.S. Senate,GREENE,Scattering,,1
U.S. Senate,GREENE,Total,,3866
U.S. Senate,GRUNDY,Chuck Grassley,Republican Party,4000
U.S. Senate,GRUNDY,David Osterberg,Democratic Pary,779
U.S. Senate,GRUNDY,Margaret Trowe,,4
U.S. Senate,GRUNDY,Susan Marcus,Natural Law Party,8
U.S. Senate,GRUNDY,Scattering,,1
U.S. Senate,GRUNDY,Total,,4792
U.S. Senate,GUTHRIE,Chuck Grassley,Republican Party,3113
U.S. Senate,GUTHRIE,David Osterberg,Democratic Pary,1152
U.S. Senate,GUTHRIE,Margaret Trowe,,6
U.S. Senate,GUTHRIE,Susan Marcus,Natural Law Party,37
U.S. Senate,GUTHRIE,Scattering,,1
U.S. Senate,GUTHRIE,Total,,4309
U.S. Senate,HAMILTON,Chuck Grassley,Republican Party,4165
U.S. Senate,HAMILTON,David Osterberg,Democratic Pary,1516
U.S. Senate,HAMILTON,Margaret Trowe,,6
U.S. Senate,HAMILTON,Susan Marcus,Natural Law Party,41
U.S. Senate,HAMILTON,Scattering,,0
U.S. Senate,HAMILTON,Total,,5728
U.S. Senate,HANCOCK,Chuck Grassley,Republican Party,3237
U.S. Senate,HANCOCK,David Osterberg,Democratic Pary,896
U.S. Senate,HANCOCK,Margaret Trowe,,16
U.S. Senate,HANCOCK,Susan Marcus,Natural Law Party,13
U.S. Senate,HANCOCK,Scattering,,0
U.S. Senate,HANCOCK,Total,,4162
U.S. Senate,HARDIN,Chuck Grassley,Republican Party,5151
U.S. Senate,HARDIN,David Osterberg,Democratic Pary,1621
U.S. Senate,HARDIN,Margaret Trowe,,17
U.S. Senate,HARDIN,Susan Marcus,Natural Law Party,25
U.S. Senate,HARDIN,Scattering,,0
U.S. Senate,HARDIN,Total,,6814
U.S. Senate,HARRISON,Chuck Grassley,Republican Party,3186
U.S. Senate,HARRISON,David Osterberg,Democratic Pary,1161
U.S. Senate,HARRISON,Margaret Trowe,,18
U.S. Senate,HARRISON,Susan Marcus,Natural Law Party,59
U.S. Senate,HARRISON,Scattering,,1
U.S. Senate,HARRISON,Total,,4425
U.S. Senate,HENRY,Chuck Grassley,Republican Party,4991
U.S. Senate,HENRY,David Osterberg,Democratic Pary,2009
U.S. Senate,HENRY,Margaret Trowe,,24
U.S. Senate,HENRY,Susan Marcus,Natural Law Party,58
U.S. Senate,HENRY,Scattering,,2
U.S. Senate,HENRY,Total,,7084
U.S. Senate,HOWARD,Chuck Grassley,Republican Party,2749
U.S. Senate,HOWARD,David Osterberg,Democratic Pary,901
U.S. Senate,HOWARD,Margaret Trowe,,4
U.S. Senate,HOWARD,Susan Marcus,Natural Law Party,37
U.S. Senate,HOWARD,Scattering,,0
U.S. Senate,HOWARD,Total,,3691
U.S. Senate,HUMBOLDT,Chuck Grassley,Republican Party,3057
U.S. Senate,HUMBOLDT,David Osterberg,Democratic Pary,724
U.S. Senate,HUMBOLDT,Margaret Trowe,,7
U.S. Senate,HUMBOLDT,Susan Marcus,Natural Law Party,28
U.S. Senate,HUMBOLDT,Scattering,,0
U.S. Senate,HUMBOLDT,Total,,3816
U.S. Senate,IDA,Chuck Grassley,Republican Party,2346
U.S. Senate,IDA,David Osterberg,Democratic Pary,512
U.S. Senate,IDA,Margaret Trowe,,12
U.S. Senate,IDA,Susan Marcus,Natural Law Party,12
U.S. Senate,IDA,Scattering,,0
U.S. Senate,IDA,Total,,2882
U.S. Senate,IOWA,Chuck Grassley,Republican Party,4339
U.S. Senate,IOWA,David Osterberg,Democratic Pary,1363
U.S. Senate,IOWA,Margaret Trowe,,8
U.S. Senate,IOWA,Susan Marcus,Natural Law Party,53
U.S. Senate,IOWA,Scattering,,1
U.S. Senate,IOWA,Total,,5764
U.S. Senate,JACKSON,Chuck Grassley,Republican Party,4330
U.S. Senate,JACKSON,David Osterberg,Democratic Pary,1946
U.S. Senate,JACKSON,Margaret Trowe,,11
U.S. Senate,JACKSON,Susan Marcus,Natural Law Party,38
U.S. Senate,JACKSON,Scattering,,0
U.S. Senate,JACKSON,Total,,6325
U.S. Senate,JASPER,Chuck Grassley,Republican Party,9122
