office,county,candidate,party,votes
U.S. Senate,JASPER,David Osterberg,Democratic Pary,4625
U.S. Senate,JASPER,Margaret Trowe,,34
U.S. Senate,JASPER,Susan Marcus,Natural Law Party,110
U.S. Senate,JASPER,Scattering,,2
U.S. Senate,JASPER,Total,,13893
U.S. Senate,JEFFERSON,Chuck Grassley,Republican Party,3763
U.S. Senate,JEFFERSON,David Osterberg,Democratic Pary,1354
U.S. Senate,JEFFERSON,Margaret Trowe,,13
U.S. Senate,JEFFERSON,Susan Marcus,Natural Law Party,1234
U.S. Senate,JEFFERSON,Scattering,,9
U.S. Senate,JEFFERSON,Total,,6373
U.S. Senate,JOHNSON,Chuck Grassley,Republican Party,17901
U.S. Senate,JOHNSON,David Osterberg,Democratic Pary,15138
U.S. Senate,JOHNSON,Margaret Trowe,,173
U.S. Senate,JOHNSON,Susan Marcus,Natural Law Party,342
U.S. Senate,JOHNSON,Scattering,,15
U.S. Senate,JOHNSON,Total,,33569
U.S. Senate,JONES,Chuck Grassley,Republican Party,5038
U.S. Senate,JONES,David Osterberg,Democratic Pary,1739
U.S. Senate,JONES,Margaret Trowe,,15
U.S. Senate,JONES,Susan Marcus,Natural Law Party,56
U.S. Senate,JONES,Scattering,,1
U.S. Senate,JONES,Total,,6849
U.S. Senate,KEOKUK,Chuck Grassley,Republican Party,2824
U.S. Senate,KEOKUK,David Osterberg,Democratic Pary,907
U.S. Senate,KEOKUK,Margaret Trowe,,6
U.S. Senate,KEOKUK,Susan Marcus,Natural Law Party,28
U.S. Senate,KEOKUK,Scattering,,0
U.S. Senate,KEOKUK,Total,,3765
U.S. Senate,KOSSUTH,Chuck Grassley,Republican Party,4894
U.S. Senate,KOSSUTH,David Osterberg,Democratic Pary,1713
U.S. Senate,KOSSUTH,Margaret Trowe,,14
U.S. Senate,KOSSUTH,Susan Marcus,Natural Law Party,50
U.S. Senate,KOSSUTH,Scattering,,2
U.S. Senate,KOSSUTH,Total,,6673
U.S. Senate,LEE,Chuck Grassley,Republican Party,5836
U.S. Senate,LEE,David Osterberg,Democratic Pary,5636
U.S. Senate,LEE,Margaret Trowe,,33
U.S. Senate,LEE,Susan Marcus,Natural Law Party,138
U.S. Senate,LEE,Scattering,,11
U.S. Senate,LEE,Total,,11654
U.S. Senate,LINN,Chuck Grassley,Republican Party,42387
U.S. Senate,LINN,David Osterberg,Democratic Pary,22759
U.S. Senate,LINN,Margaret Trowe,,104
U.S. Senate,LINN,Susan Marcus,Natural Law Party,433
U.S. Senate,LINN,Scattering,,17
U.S. Senate,LINN,Total,,65700
U.S. Senate,LOUISA,Chuck Grassley,Republican Party,2336
U.S. Senate,LOUISA,David Osterberg,Democratic Pary,1010
U.S. Senate,LOUISA,Margaret Trowe,,15
U.S. Senate,LOUISA,Susan Marcus,Natural Law Party,25
U.S. Senate,LOUISA,Scattering,,1
U.S. Senate,LOUISA,Total,,3387
U.S. Senate,LUCAS,Chuck Grassley,Republican Party,2250
U.S. Senate,LUCAS,David Osterberg,Democratic Pary,769
U.S. Senate,LUCAS,Margaret Trowe,,2
U.S. Senate,LUCAS,Susan Marcus,Natural Law Party,17
U.S. Senate,LUCAS,Scattering,,0
U.S. Senate,LUCAS,Total,,3038
U.S. Senate,LYON,Chuck Grassley,Republican Party,3313
U.S. Senate,LYON,David Osterberg,Democratic Pary,554
U.S. Senate,LYON,Margaret Trowe,,11
U.S. Senate,LYON,Susan Marcus,Natural Law Party,18
U.S. Senate,LYON,Scattering,,0
U.S. Senate,LYON,Total,,3896
U.S. Senate,MADISON,Chuck Grassley,Republican Party,3794
U.S. Senate,MADISON,David Osterberg,Democratic Pary,1498
U.S. Senate,MADISON,Margaret Trowe,,15
U.S. Senate,MADISON,Susan Marcus,Natural Law Party,67
U.S. Senate,MADISON,Scattering,,0
U.S. Senate,MADISON,Total,,5374
U.S. Senate,MAHASKA,Chuck Grassley,Republican Party,5443
U.S. Senate,MAHASKA,David Osterberg,Democratic Pary,1449
U.S. Senate,MAHASKA,Margaret Trowe,,15
U.S. Senate,MAHASKA,Susan Marcus,Natural Law Party,36
U.S. Senate,MAHASKA,Scattering,,4
U.S. Senate,MAHASKA,Total,,6947
U.S. Senate,MARION,Chuck Grassley,Republican Party,7107
U.S. Senate,MARION,David Osterberg,Democratic Pary,2737
U.S. Senate,MARION,Margaret Trowe,,18
U.S. Senate,MARION,Susan Marcus,Natural Law Party,24
U.S. Senate,MARION,Scattering,,2
U.S. Senate,MARION,Total,,9888
U.S. Senate,MARSHALL,Chuck Grassley,Republican Party,9679
U.S. Senate,MARSHALL,David Osterberg,Democratic Pary,4203
U.S. Senate,MARSHALL,Margaret Trowe,,25
U.S. Senate,MARSHALL,Susan Marcus,Natural Law Party,99
U.S. Senate,MARSHALL,Scattering,,4
U.S. Senate,MARSHALL,Total,,14010
U.S. Senate,MILLS,Chuck Grassley,Republican Party,2909
U.S. Senate,MILLS,David Osterberg,Democratic Pary,805
U.S. Senate,MILLS,Margaret Trowe,,11
U.S. Senate,MILLS,Susan Marcus,Natural Law Party,39
U.S. Senate,MILLS,Scattering,,2
U.S. Senate,MILLS,Total,,3766
U.S. Senate,MITCHELL,Chuck Grassley,Republican Party,3198
U.S. Senate,MITCHELL,David Osterberg,Democratic Pary,1044
U.S. Senate,MITCHELL,Margaret Trowe,,17
U.S. Senate,MITCHELL,Susan Marcus,Natural Law Party,18
U.S. Senate,MITCHELL,Scattering,,0
U.S. Senate,MITCHELL,Total,,4277
U.S. Senate,MONONA,Chuck Grassley,Republican Party,2590
U.S. Senate,MONONA,David Osterberg,Democratic Pary,947
U.S. Senate,MONONA,Margaret Trowe,,18
U.S. Senate,MONONA,Susan Marcus,Natural Law Party,34
U.S. Senate,MONONA,Scattering,,0
U.S. Senate,MONONA,Total,,3589
U.S. Senate,MONROE,Chuck Grassley,Republican Party,1952
U.S. Senate,MONROE,David Osterberg,Democratic Pary,820
U.S. Senate,MONROE,Margaret Trowe,,14
U.S. Senate,MONROE,Susan Marcus,Natural Law Party,24
U.S. Senate,MONROE,Scattering,,0
U.S. Senate,MONROE,Total,,2810
U.S. Senate,MONTGOMERY,Chuck Grassley,Republican Party,3251
U.S. Senate,MONTGOMERY,David Osterberg,Democratic Pary,726
U.S. Senate,MONTGOMERY,Margaret Trowe,,12
U.S. Senate,MONTGOMERY,Susan Marcus,Natural Law Party,36
U.S. Senate,MONTGOMERY,Scattering,,1
U.S. Senate,MONTGOMERY,Total,,4026
U.S. Senate,MUSCATINE,Chuck Grassley,Republican Party,7175
U.S. Senate,MUSCATINE,David Osterberg,Democratic Pary,3365
U.S. Senate,MUSCATINE,Margaret Trowe,,39
U.S. Senate,MUSCATINE,Susan Marcus,Natural Law Party,76
U.S. Senate,MUSCATINE,Scattering,,3
U.S. Senate,MUSCATINE,Total,,10658
U.S. Senate,O'BRIEN,Chuck Grassley,Republican Party,3998
U.S. Senate,O'BRIEN,David Osterberg,Democratic Pary,828
U.S. Senate,O'BRIEN,Margaret Trowe,,8
U.S. Senate,O'BRIEN,Susan Marcus,Natural Law Party,18
U.S. Senate,O'BRIEN,Scattering,,1
U.S. Senate,O'BRIEN,Total,,4853
U.S. Senate,OSCEOLA,Chuck Grassley,Republican Party,1810
U.S. Senate,OSCEOLA,David Osterberg,Democratic Pary,359
U.S. Senate,OSCEOLA,Margaret Trowe,,6
U.S. Senate,OSCEOLA,Susan Marcus,Natural Law Party,18
U.S. Senate,OSCEOLA,Scattering,,0
U.S. Senate,OSCEOLA,Total,,2193
U.S. Senate,PAGE,Chuck Grassley,Republican Party,4417
U.S. Senate,PAGE,David Osterberg,Democratic Pary,917
U.S. Senate,PAGE,Margaret Trowe,,19
U.S. Senate,PAGE,Susan Marcus,Natural Law Party,39
U.S. Senate,PAGE,Scattering,,1
U.S. Senate,PAGE,Total,,5393
U.S. Senate,PALO ALTO,Chuck Grassley,Republican Party,2419
U.S. Senate,PALO ALTO,David Osterberg,Democratic Pary,1141
U.S. Senate,PALO ALTO,Margaret Trowe,,5
U.S. Senate,PALO ALTO,Susan Marcus,Natural Law Party,11
U.S. Senate,PALO ALTO,Scattering,,0
U.S. Senate,PALO ALTO,Total,,3576
U.S. Senate,PLYMOUTH,Chuck Grassley,Republican Party,5461
U.S. Senate,PLYMOUTH,David Osterberg,Democratic Pary,1245
U.S. Senate,PLYMOUTH,Margaret Trowe,,10
U.S. Senate,PLYMOUTH,Susan Marcus,Natural Law Party,10
U.S. Senate,PLYMOUTH,Scattering,,0
U.S. Senate,PLYMOUTH,Total,,6726
U.S. Senate,POCAHONTAS,Chuck Grassley,Republican Party,2225
U.S. Senate,POCAHONTAS,David Osterberg,Democratic Pary,672
U.S. Senate,POCAHONTAS,Margaret Trowe,,5
U.S. Senate,POCAHONTAS,Susan Marcus,Natural Law Party,20
U.S. Senate,POCAHONTAS,Scattering,,6
U.S. Senate,POCAHONTAS,Total,,2928
U.S. Senate,POLK,Chuck Grassley,Republican Party,81972
U.S. Senate,POLK,David Osterberg,Democratic Pary,43498
U.S. Senate,POLK,Margaret Trowe,,445
U.S. Senate,POLK,Susan Marcus,Natural Law Party,810
U.S. Senate,POLK,Scattering,,55
U.S. Senate,POLK,Total,,126780
U.S. Senate,POTTAWATTAMIE,Chuck Grassley,Republican Party,14601
U.S. Senate,POTTAWATTAMIE,David Osterberg,Democratic Pary,6355
U.S. Senate,POTTAWATTAMIE,Margaret Trowe,,106
U.S. Senate,POTTAWATTAMIE,Susan Marcus,Natural Law Party,212
U.S. Senate,POTTAWATTAMIE,Scattering,,17
U.S. Senate,POTTAWATTAMIE,Total,,21291
U.S. Senate,POWESHIEK,Chuck Grassley,Republican Party,4324
U.S. Senate,POWESHIEK,David Osterberg,Democratic Pary,1983
U.S. Senate,POWESHIEK,Margaret Trowe,,34
U.S. Senate,POWESHIEK,Susan Marcus,Natural Law Party,58
U.S. Senate,POWESHIEK,Scattering,,2
U.S. Senate,POWESHIEK,Total,,6401
U.S. Senate,RINGGOLD,Chuck Grassley,Republican Party,1789
U.S. Senate,RINGGOLD,David Osterberg,Democratic Pary,507
U.S. Senate,RINGGOLD,Margaret Trowe,,10
U.S. Senate,RINGGOLD,Susan Marcus,Natural Law Party,13
U.S. Senate,RINGGOLD,Scattering,,1
U.S. Senate,RINGGOLD,Total,,2320
U.S. Senate,SAC,Chuck Grassley,Republican Party,3454
U.S. Senate,SAC,David Osterberg,Democratic Pary,859
U.S. Senate,SAC,Margaret Trowe,,4
U.S. Senate,SAC,Susan Marcus,Natural Law Party,30
U.S. Senate,SAC,Scattering,,0
U.S. Senate,SAC,Total,,4347
U.S. Senate,SCOTT,Chuck Grassley,Republican Party,30855
U.S. Senate,SCOTT,David Osterberg,Democratic Pary,15244
U.S. Senate,SCOTT,Margaret Trowe,,103
U.S. Senate,SCOTT,Susan Marcus,Natural Law Party,356
U.S. Senate,SCOTT,Scattering,,16
U.S. Senate,SCOTT,Total,,46574
U.S. Senate,SHELBY,Chuck Grassley,Republican Party,3225
U.S. Senate,SHELBY,David Osterberg,Democratic Pary,994
U.S. Senate,SHELBY,Margaret Trowe,,7
U.S. Senate,SHELBY,Susan Marcus,Natural Law Party,13
U.S. Senate,SHELBY,Scattering,,0
U.S. Senate,SHELBY,Total,,4239
U.S. Senate,SIOUX,Chuck Grassley,Republican Party,9017
U.S. Senate,SIOUX,David Osterberg,Democratic Pary,880
U.S. Senate,SIOUX,Margaret Trowe,,12
U.S. Senate,SIOUX,Susan Marcus,Natural Law Party,13
U.S. Senate,SIOUX,Scattering,,1
U.S. Senate,SIOUX,Total,,9923
U.S. Senate,STORY,Chuck Grassley,Republican Party,16003
U.S. Senate,STORY,David Osterberg,Democratic Pary,8532
U.S. Senate,STORY,Margaret Trowe,,100
U.S. Senate,STORY,Susan Marcus,Natural Law Party,181
U.S. Senate,STORY,Scattering,,15
U.S. Senate,STORY,Total,,24831
U.S. Senate,TAMA,Chuck Grassley,Republican Party,4697
U.S. Senate,TAMA,David Osterberg,Democratic Pary,1689
U.S. Senate,TAMA,Margaret Trowe,,14
U.S. Senate,TAMA,Susan Marcus,Natural Law Party,43
U.S. Senate,TAMA,Scattering,,1
U.S. Senate,TAMA,Total,,6444
U.S. Senate,TAYLOR,Chuck Grassley,Republican Party,1847
U.S. Senate,TAYLOR,David Osterberg,Democratic Pary,570
U.S. Senate,TAYLOR,Margaret Trowe,,9
U.S. Senate,TAYLOR,Susan Marcus,Natural Law Party,23
U.S. Senate,TAYLOR,Scattering,,1
U.S. Senate,TAYLOR,Total,,2450
U.S. Senate,UNION,Chuck Grassley,Republican Party,3204
U.S. Senate,UNION,David Osterberg,Democratic Pary,1144
U.S. Senate,UNION,Margaret Trowe,,12
U.S. Senate,UNION,Susan Marcus,Natural Law Party,20
U.S. Senate,UNION,Scattering,,0
U.S. Senate,UNION,Total,,4380
U.S. Senate,VAN,Chuck Grassley,Republican Party,2036
U.S. Senate,VAN,David Osterberg,Democratic Pary,762
U.S. Senate,VAN,Margaret Trowe,,6
U.S. Senate,VAN,Susan Marcus,Natural Law Party,33
U.S. Senate,VAN,Scattering,,0
U.S. Senate,VAN,Total,,2837
U.S. Senate,WAPELLO,Chuck Grassley,Republican Party,7046
U.S. Senate,WAPELLO,David Osterberg,Democratic Pary,4492
U.S. Senate,WAPELLO,Margaret Trowe,,34
U.S. Senate,WAPELLO,Susan Marcus,Natural Law Party,142
U.S. Senate,WAPELLO,Scattering,,5
U.S. Senate,WAPELLO,Total,,11719
U.S. Senate,WARREN,Chuck Grassley,Republican Party,9414
U.S. Senate,WARREN,David Osterberg,Democratic Pary,4577
U.S. Senate,WARREN,Margaret Trowe,,42
U.S. Senate,WARREN,Susan Marcus,Natural Law Party,82
U.S. Senate,WARREN,Scattering,,3
U.S. Senate,WARREN,Total,,14118
U.S. Senate,WASHINGTON,Chuck Grassley,Republican Party,4946
U.S. Senate,WASHINGTON,David Osterberg,Democratic Pary,1754
U.S. Senate,WASHINGTON,Margaret Trowe,,13
U.S. Senate,WASHINGTON,Susan Marcus,Natural Law Party,71
U.S. Senate,WASHINGTON,Scattering,,1
U.S. Senate,WASHINGTON,Total,,6785
U.S. Senate,WAYNE,Chuck Grassley,Republican Party,1697
U.S. Senate,WAYNE,David Osterberg,Democratic Pary,697
U.S. Senate,WAYNE,Margaret Trowe,,2
U.S. Senate,WAYNE,Susan Marcus,Natural Law Party,0
U.S. Senate,WAYNE,Scattering,,0
U.S. Senate,WAYNE,Total,,2396
U.S. Senate,WEBSTER,Chuck Grassley,Republican Party,8638
U.S. Senate,WEBSTER,David Osterberg,Democratic Pary,3945
U.S. Senate,WEBSTER,Margaret Trowe,,24
U.S. Senate,WEBSTER,Susan Marcus,Natural Law Party,101
U.S. Senate,WEBSTER,Scattering,,3
U.S. Senate,WEBSTER,Total,,12711
U.S. Senate,WINNEBAGO,Chuck Grassley,Republican Party,3103
U.S. Senate,WINNEBAGO,David Osterberg,Democratic Pary,1001
U.S. Senate,WINNEBAGO,Margaret Trowe,,16
U.S. Senate,WINNEBAGO,Susan Marcus,Natural Law Party,24
U.S. Senate,WINNEBAGO,Scattering,,0
U.S. Senate,WINNEBAGO,Total,,4144
U.S. Senate,WINNESHIEK,Chuck Grassley,Republican Party,4967
U.S. Senate,WINNESHIEK,David Osterberg,Democratic Pary,1730
U.S. Senate,WINNESHIEK,Margaret Trowe,,23
U.S. Senate,WINNESHIEK,Susan Marcus,Natural Law Party,35
U.S. Senate,WINNESHIEK,Scattering,,0
U.S. Senate,WINNESHIEK,Total,,6755
U.S. Senate,WOODBURY,Chuck Grassley,Republican Party,18148
U.S. Senate,WOODBURY,David Osterberg,Democratic Pary,8079
U.S. Senate,WOODBURY,Margaret Trowe,,111
U.S. Senate,WOODBURY,Susan Marcus,Natural Law Party,153
U.S. Senate,WOODBURY,Scattering,,8
U.S. Senate,WOODBURY,Total,,26499
U.S. Senate,WORTH,Chuck Grassley,Republican Party,2341
U.S. Senate,WORTH,David Osterberg,Democratic Pary,841
U.S. Senate,WORTH,Margaret Trowe,,4
U.S. Senate,WORTH,Susan Marcus,Natural Law Party,37
U.S. Senate,WORTH,Scattering,,1
U.S. Senate,WORTH,Total,,3224
U.S. Senate,WRIGHT,Chuck Grassley,Republican Party,3316
U.S. Senate,WRIGHT,David Osterberg,Democratic Pary,1190
U.S. Senate,WRIGHT,Margaret Trowe,,1
U.S. Senate,WRIGHT,Susan Marcus,Natural Law Party,6
U.S. Senate,WRIGHT,Scattering,,1
U.S. Senate,WRIGHT,Total,,4514
