office,candidate,party,reporting_level,jurisdiction,votes
President,Gore / Lieberman,Democratic,county,Adair,1753
President,Bush / Cheney,Republican,county,Adair,2275
President,Browne / Olivier,Libertarian Party of Iowa,county,Adair,4
President,Nader / Laduke,Iowa Green Party,county,Adair,66
President,Buchanan / Foster,Reform Party,county,Adair,14
President,Harris / Trowe,Socialist Workers,county,Adair,0
President,Phillips / Frazier,Constitution,county,Adair,3
President,McReynolds / Hollis,Socialist Party USA,county,Adair,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Adair,5
President,Scattering,,county,Adair,2
President,Totals,,county,Adair,4123
President,Gore / Lieberman,Democratic,county,Adams,897
President,Bush / Cheney,Republican,county,Adams,1170
President,Browne / Olivier,Libertarian Party of Iowa,county,Adams,4
President,Nader / Laduke,Iowa Green Party,county,Adams,51
President,Buchanan / Foster,Reform Party,county,Adams,16
President,Harris / Trowe,Socialist Workers,county,Adams,1
President,Phillips / Frazier,Constitution,county,Adams,0
President,McReynolds / Hollis,Socialist Party USA,county,Adams,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Adams,3
President,Scattering,,county,Adams,2
President,Totals,,county,Adams,2145
President,Gore / Lieberman,Democratic,county,Allamakee,2883
President,Bush / Cheney,Republican,county,Allamakee,3277
President,Browne / Olivier,Libertarian Party of Iowa,county,Allamakee,13
President,Nader / Laduke,Iowa Green Party,county,Allamakee,199
President,Buchanan / Foster,Reform Party,county,Allamakee,68
President,Harris / Trowe,Socialist Workers,county,Allamakee,2
President,Phillips / Frazier,Constitution,county,Allamakee,4
President,McReynolds / Hollis,Socialist Party USA,county,Allamakee,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Allamakee,8
President,Scattering,,county,Allamakee,7
President,Totals,,county,Allamakee,6462
President,Gore / Lieberman,Democratic,county,Appanoose,2560
President,Bush / Cheney,Republican,county,Appanoose,2992
President,Browne / Olivier,Libertarian Party of Iowa,county,Appanoose,15
President,Nader / Laduke,Iowa Green Party,county,Appanoose,105
President,Buchanan / Foster,Reform Party,county,Appanoose,18
President,Harris / Trowe,Socialist Workers,county,Appanoose,2
President,Phillips / Frazier,Constitution,county,Appanoose,7
President,McReynolds / Hollis,Socialist Party USA,county,Appanoose,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Appanoose,3
President,Scattering,,county,Appanoose,2
President,Totals,,county,Appanoose,5704
President,Gore / Lieberman,Democratic,county,Audubon,1780
President,Bush / Cheney,Republican,county,Audubon,1909
President,Browne / Olivier,Libertarian Party of Iowa,county,Audubon,6
President,Nader / Laduke,Iowa Green Party,county,Audubon,56
President,Buchanan / Foster,Reform Party,county,Audubon,23
President,Harris / Trowe,Socialist Workers,county,Audubon,0
President,Phillips / Frazier,Constitution,county,Audubon,2
President,McReynolds / Hollis,Socialist Party USA,county,Audubon,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Audubon,3
President,Scattering,,county,Audubon,5
President,Totals,,county,Audubon,3784
President,Gore / Lieberman,Democratic,county,Benton,5915
President,Bush / Cheney,Republican,county,Benton,5468
President,Browne / Olivier,Libertarian Party of Iowa,county,Benton,25
President,Nader / Laduke,Iowa Green Party,county,Benton,231
President,Buchanan / Foster,Reform Party,county,Benton,95
President,Harris / Trowe,Socialist Workers,county,Benton,2
President,Phillips / Frazier,Constitution,county,Benton,3
President,McReynolds / Hollis,Socialist Party USA,county,Benton,2
President,Hagelin / Goldhaber,Nominated by Petition,county,Benton,13
President,Scattering,,county,Benton,12
President,Totals,,county,Benton,11766
President,Gore / Lieberman,Democratic,county,Black Hawk,30112
President,Bush / Cheney,Republican,county,Black Hawk,23468
President,Browne / Olivier,Libertarian Party of Iowa,county,Black Hawk,107
President,Nader / Laduke,Iowa Green Party,county,Black Hawk,1132
President,Buchanan / Foster,Reform Party,county,Black Hawk,163
President,Harris / Trowe,Socialist Workers,county,Black Hawk,2
President,Phillips / Frazier,Constitution,county,Black Hawk,19
President,McReynolds / Hollis,Socialist Party USA,county,Black Hawk,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Black Hawk,21
President,Scattering,,county,Black Hawk,61
President,Totals,,county,Black Hawk,55085
President,Gore / Lieberman,Democratic,county,Boone,6270
President,Bush / Cheney,Republican,county,Boone,5625
President,Browne / Olivier,Libertarian Party of Iowa,county,Boone,15
President,Nader / Laduke,Iowa Green Party,county,Boone,252
President,Buchanan / Foster,Reform Party,county,Boone,46
President,Harris / Trowe,Socialist Workers,county,Boone,1
President,Phillips / Frazier,Constitution,county,Boone,14
President,McReynolds / Hollis,Socialist Party USA,county,Boone,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Boone,9
President,Scattering,,county,Boone,17
President,Totals,,county,Boone,12249
President,Gore / Lieberman,Democratic,county,Bremer,5169
President,Bush / Cheney,Republican,county,Bremer,5675
President,Browne / Olivier,Libertarian Party of Iowa,county,Bremer,17
President,Nader / Laduke,Iowa Green Party,county,Bremer,260
President,Buchanan / Foster,Reform Party,county,Bremer,28
President,Harris / Trowe,Socialist Workers,county,Bremer,0
President,Phillips / Frazier,Constitution,county,Bremer,3
President,McReynolds / Hollis,Socialist Party USA,county,Bremer,2
President,Hagelin / Goldhaber,Nominated by Petition,county,Bremer,7
President,Scattering,,county,Bremer,14
President,Totals,,county,Bremer,11175
President,Gore / Lieberman,Democratic,county,Buchanan,5045
President,Bush / Cheney,Republican,county,Buchanan,4092
President,Browne / Olivier,Libertarian Party of Iowa,county,Buchanan,19
President,Nader / Laduke,Iowa Green Party,county,Buchanan,171
President,Buchanan / Foster,Reform Party,county,Buchanan,52
President,Harris / Trowe,Socialist Workers,county,Buchanan,3
President,Phillips / Frazier,Constitution,county,Buchanan,7
President,McReynolds / Hollis,Socialist Party USA,county,Buchanan,2
President,Hagelin / Goldhaber,Nominated by Petition,county,Buchanan,11
President,Scattering,,county,Buchanan,8
President,Totals,,county,Buchanan,9410
President,Gore / Lieberman,Democratic,county,Buena Vista,3297
President,Bush / Cheney,Republican,county,Buena Vista,4354
President,Browne / Olivier,Libertarian Party of Iowa,county,Buena Vista,15
President,Nader / Laduke,Iowa Green Party,county,Buena Vista,227
President,Buchanan / Foster,Reform Party,county,Buena Vista,59
President,Harris / Trowe,Socialist Workers,county,Buena Vista,5
President,Phillips / Frazier,Constitution,county,Buena Vista,8
President,McReynolds / Hollis,Socialist Party USA,county,Buena Vista,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Buena Vista,7
President,Scattering,,county,Buena Vista,4
President,Totals,,county,Buena Vista,7977
President,Gore / Lieberman,Democratic,county,Butler,2735
President,Bush / Cheney,Republican,county,Butler,3837
President,Browne / Olivier,Libertarian Party of Iowa,county,Butler,11
President,Nader / Laduke,Iowa Green Party,county,Butler,113
President,Buchanan / Foster,Reform Party,county,Butler,12
President,Harris / Trowe,Socialist Workers,county,Butler,2
President,Phillips / Frazier,Constitution,county,Butler,1
President,McReynolds / Hollis,Socialist Party USA,county,Butler,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Butler,9
President,Scattering,,county,Butler,4
President,Totals,,county,Butler,6724
President,Gore / Lieberman,Democratic,county,Calhoun,2132
President,Bush / Cheney,Republican,county,Calhoun,2776
President,Browne / Olivier,Libertarian Party of Iowa,county,Calhoun,12
President,Nader / Laduke,Iowa Green Party,county,Calhoun,93
President,Buchanan / Foster,Reform Party,county,Calhoun,18
President,Harris / Trowe,Socialist Workers,county,Calhoun,0
President,Phillips / Frazier,Constitution,county,Calhoun,6
President,McReynolds / Hollis,Socialist Party USA,county,Calhoun,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Calhoun,2
President,Scattering,,county,Calhoun,2
President,Totals,,county,Calhoun,5041
President,Gore / Lieberman,Democratic,county,Carroll,4463
President,Bush / Cheney,Republican,county,Carroll,4879
President,Browne / Olivier,Libertarian Party of Iowa,county,Carroll,11
President,Nader / Laduke,Iowa Green Party,county,Carroll,146
President,Buchanan / Foster,Reform Party,county,Carroll,46
President,Harris / Trowe,Socialist Workers,county,Carroll,0
President,Phillips / Frazier,Constitution,county,Carroll,5
President,McReynolds / Hollis,Socialist Party USA,county,Carroll,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Carroll,9
President,Scattering,,county,Carroll,8
President,Totals,,county,Carroll,9568
President,Gore / Lieberman,Democratic,county,Cass,2481
President,Bush / Cheney,Republican,county,Cass,4206
President,Browne / Olivier,Libertarian Party of Iowa,county,Cass,9
President,Nader / Laduke,Iowa Green Party,county,Cass,147
President,Buchanan / Foster,Reform Party,county,Cass,22
President,Harris / Trowe,Socialist Workers,county,Cass,1
President,Phillips / Frazier,Constitution,county,Cass,1
President,McReynolds / Hollis,Socialist Party USA,county,Cass,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Cass,5
President,Scattering,,county,Cass,8
President,Totals,,county,Cass,6880
President,Gore / Lieberman,Democratic,county,Cedar,4033
President,Bush / Cheney,Republican,county,Cedar,4031
President,Browne / Olivier,Libertarian Party of Iowa,county,Cedar,16
President,Nader / Laduke,Iowa Green Party,county,Cedar,212
President,Buchanan / Foster,Reform Party,county,Cedar,32
President,Harris / Trowe,Socialist Workers,county,Cedar,0
President,Phillips / Frazier,Constitution,county,Cedar,0
President,McReynolds / Hollis,Socialist Party USA,county,Cedar,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Cedar,11
President,Scattering,,county,Cedar,9
President,Totals,,county,Cedar,8344
President,Gore / Lieberman,Democratic,county,Cerro Gordo,12185
President,Bush / Cheney,Republican,county,Cerro Gordo,9397
President,Browne / Olivier,Libertarian Party of Iowa,county,Cerro Gordo,42
President,Nader / Laduke,Iowa Green Party,county,Cerro Gordo,408
President,Buchanan / Foster,Reform Party,county,Cerro Gordo,77
President,Harris / Trowe,Socialist Workers,county,Cerro Gordo,4
President,Phillips / Frazier,Constitution,county,Cerro Gordo,4
President,McReynolds / Hollis,Socialist Party USA,county,Cerro Gordo,2
President,Hagelin / Goldhaber,Nominated by Petition,county,Cerro Gordo,23
President,Scattering,,county,Cerro Gordo,20
President,Totals,,county,Cerro Gordo,22162
President,Gore / Lieberman,Democratic,county,Cherokee,2845
President,Bush / Cheney,Republican,county,Cherokee,3463
President,Browne / Olivier,Libertarian Party of Iowa,county,Cherokee,10
President,Nader / Laduke,Iowa Green Party,county,Cherokee,160
President,Buchanan / Foster,Reform Party,county,Cherokee,83
President,Harris / Trowe,Socialist Workers,county,Cherokee,1
President,Phillips / Frazier,Constitution,county,Cherokee,7
President,McReynolds / Hollis,Socialist Party USA,county,Cherokee,2
President,Hagelin / Goldhaber,Nominated by Petition,county,Cherokee,12
President,Scattering,,county,Cherokee,9
President,Totals,,county,Cherokee,6592
President,Gore / Lieberman,Democratic,county,Chickasaw,3435
President,Bush / Cheney,Republican,county,Chickasaw,2936
President,Browne / Olivier,Libertarian Party of Iowa,county,Chickasaw,8
President,Nader / Laduke,Iowa Green Party,county,Chickasaw,145
President,Buchanan / Foster,Reform Party,county,Chickasaw,40
President,Harris / Trowe,Socialist Workers,county,Chickasaw,1
President,Phillips / Frazier,Constitution,county,Chickasaw,3
President,McReynolds / Hollis,Socialist Party USA,county,Chickasaw,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Chickasaw,13
President,Scattering,,county,Chickasaw,3
President,Totals,,county,Chickasaw,6584
President,Gore / Lieberman,Democratic,county,Clarke,2081
President,Bush / Cheney,Republican,county,Clarke,1984
President,Browne / Olivier,Libertarian Party of Iowa,county,Clarke,6
President,Nader / Laduke,Iowa Green Party,county,Clarke,75
President,Buchanan / Foster,Reform Party,county,Clarke,22
President,Harris / Trowe,Socialist Workers,county,Clarke,0
President,Phillips / Frazier,Constitution,county,Clarke,2
President,McReynolds / Hollis,Socialist Party USA,county,Clarke,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Clarke,2
President,Scattering,,county,Clarke,3
President,Totals,,county,Clarke,4176
President,Gore / Lieberman,Democratic,county,Clay,3294
President,Bush / Cheney,Republican,county,Clay,3992
President,Browne / Olivier,Libertarian Party of Iowa,county,Clay,20
President,Nader / Laduke,Iowa Green Party,county,Clay,166
President,Buchanan / Foster,Reform Party,county,Clay,51
President,Harris / Trowe,Socialist Workers,county,Clay,7
President,Phillips / Frazier,Constitution,county,Clay,4
President,McReynolds / Hollis,Socialist Party USA,county,Clay,2
President,Hagelin / Goldhaber,Nominated by Petition,county,Clay,33
President,Scattering,,county,Clay,9
President,Totals,,county,Clay,7578
President,Gore / Lieberman,Democratic,county,Clayton,4238
President,Bush / Cheney,Republican,county,Clayton,4034
President,Browne / Olivier,Libertarian Party of Iowa,county,Clayton,18
President,Nader / Laduke,Iowa Green Party,county,Clayton,206
President,Buchanan / Foster,Reform Party,county,Clayton,58
President,Harris / Trowe,Socialist Workers,county,Clayton,1
President,Phillips / Frazier,Constitution,county,Clayton,2
President,McReynolds / Hollis,Socialist Party USA,county,Clayton,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Clayton,11
President,Scattering,,county,Clayton,3
President,Totals,,county,Clayton,8571
President,Gore / Lieberman,Democratic,county,Clinton,12276
President,Bush / Cheney,Republican,county,Clinton,9229
President,Browne / Olivier,Libertarian Party of Iowa,county,Clinton,65
President,Nader / Laduke,Iowa Green Party,county,Clinton,471
President,Buchanan / Foster,Reform Party,county,Clinton,113
President,Harris / Trowe,Socialist Workers,county,Clinton,0
President,Phillips / Frazier,Constitution,county,Clinton,4
President,McReynolds / Hollis,Socialist Party USA,county,Clinton,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Clinton,17
President,Scattering,,county,Clinton,4
President,Totals,,county,Clinton,22180
President,Gore / Lieberman,Democratic,county,Crawford,2838
President,Bush / Cheney,Republican,county,Crawford,3482
President,Browne / Olivier,Libertarian Party of Iowa,county,Crawford,26
President,Nader / Laduke,Iowa Green Party,county,Crawford,146
President,Buchanan / Foster,Reform Party,county,Crawford,53
President,Harris / Trowe,Socialist Workers,county,Crawford,0
President,Phillips / Frazier,Constitution,county,Crawford,4
President,McReynolds / Hollis,Socialist Party USA,county,Crawford,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Crawford,6
President,Scattering,,county,Crawford,0
President,Totals,,county,Crawford,6555
President,Gore / Lieberman,Democratic,county,Dallas,8561
President,Bush / Cheney,Republican,county,Dallas,10306
President,Browne / Olivier,Libertarian Party of Iowa,county,Dallas,29
President,Nader / Laduke,Iowa Green Party,county,Dallas,320
President,Buchanan / Foster,Reform Party,county,Dallas,63
President,Harris / Trowe,Socialist Workers,county,Dallas,4
President,Phillips / Frazier,Constitution,county,Dallas,8
President,McReynolds / Hollis,Socialist Party USA,county,Dallas,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Dallas,13
President,Scattering,,county,Dallas,26
President,Totals,,county,Dallas,19330
President,Gore / Lieberman,Democratic,county,Davis,1691
President,Bush / Cheney,Republican,county,Davis,1956
President,Browne / Olivier,Libertarian Party of Iowa,county,Davis,8
President,Nader / Laduke,Iowa Green Party,county,Davis,67
President,Buchanan / Foster,Reform Party,county,Davis,19
President,Harris / Trowe,Socialist Workers,county,Davis,0
President,Phillips / Frazier,Constitution,county,Davis,8
President,McReynolds / Hollis,Socialist Party USA,county,Davis,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Davis,6
President,Scattering,,county,Davis,3
President,Totals,,county,Davis,3758
President,Gore / Lieberman,Democratic,county,Decatur,1674
President,Bush / Cheney,Republican,county,Decatur,1903
President,Browne / Olivier,Libertarian Party of Iowa,county,Decatur,13
President,Nader / Laduke,Iowa Green Party,county,Decatur,94
President,Buchanan / Foster,Reform Party,county,Decatur,13
President,Harris / Trowe,Socialist Workers,county,Decatur,0
President,Phillips / Frazier,Constitution,county,Decatur,4
President,McReynolds / Hollis,Socialist Party USA,county,Decatur,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Decatur,8
President,Scattering,,county,Decatur,0
President,Totals,,county,Decatur,3709
President,Gore / Lieberman,Democratic,county,Delaware,3808
President,Bush / Cheney,Republican,county,Delaware,4273
President,Browne / Olivier,Libertarian Party of Iowa,county,Delaware,50
President,Nader / Laduke,Iowa Green Party,county,Delaware,161
President,Buchanan / Foster,Reform Party,county,Delaware,44
President,Harris / Trowe,Socialist Workers,county,Delaware,2
President,Phillips / Frazier,Constitution,county,Delaware,1
President,McReynolds / Hollis,Socialist Party USA,county,Delaware,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Delaware,8
President,Scattering,,county,Delaware,2
President,Totals,,county,Delaware,8349
President,Gore / Lieberman,Democratic,county,Des Moines,11351
President,Bush / Cheney,Republican,county,Des Moines,7385
President,Browne / Olivier,Libertarian Party of Iowa,county,Des Moines,50
President,Nader / Laduke,Iowa Green Party,county,Des Moines,409
President,Buchanan / Foster,Reform Party,county,Des Moines,121
President,Harris / Trowe,Socialist Workers,county,Des Moines,3
President,Phillips / Frazier,Constitution,county,Des Moines,8
President,McReynolds / Hollis,Socialist Party USA,county,Des Moines,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Des Moines,20
President,Scattering,,county,Des Moines,17
President,Totals,,county,Des Moines,19365
President,Gore / Lieberman,Democratic,county,Dickinson,3660
President,Bush / Cheney,Republican,county,Dickinson,4225
President,Browne / Olivier,Libertarian Party of Iowa,county,Dickinson,14
President,Nader / Laduke,Iowa Green Party,county,Dickinson,169
President,Buchanan / Foster,Reform Party,county,Dickinson,35
President,Harris / Trowe,Socialist Workers,county,Dickinson,2
President,Phillips / Frazier,Constitution,county,Dickinson,1
President,McReynolds / Hollis,Socialist Party USA,county,Dickinson,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Dickinson,3
President,Scattering,,county,Dickinson,12
President,Totals,,county,Dickinson,8121
President,Gore / Lieberman,Democratic,county,Dubuque,22341
President,Bush / Cheney,Republican,county,Dubuque,16462
President,Browne / Olivier,Libertarian Party of Iowa,county,Dubuque,154
President,Nader / Laduke,Iowa Green Party,county,Dubuque,987
President,Buchanan / Foster,Reform Party,county,Dubuque,298
President,Harris / Trowe,Socialist Workers,county,Dubuque,6
President,Phillips / Frazier,Constitution,county,Dubuque,14
President,McReynolds / Hollis,Socialist Party USA,county,Dubuque,3
President,Hagelin / Goldhaber,Nominated by Petition,county,Dubuque,35
President,Scattering,,county,Dubuque,23
President,Totals,,county,Dubuque,40323
President,Gore / Lieberman,Democratic,county,Emmet,2165
President,Bush / Cheney,Republican,county,Emmet,2331
President,Browne / Olivier,Libertarian Party of Iowa,county,Emmet,7
President,Nader / Laduke,Iowa Green Party,county,Emmet,98
President,Buchanan / Foster,Reform Party,county,Emmet,19
President,Harris / Trowe,Socialist Workers,county,Emmet,1
President,Phillips / Frazier,Constitution,county,Emmet,1
President,McReynolds / Hollis,Socialist Party USA,county,Emmet,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Emmet,4
President,Scattering,,county,Emmet,4
President,Totals,,county,Emmet,4630
President,Gore / Lieberman,Democratic,county,Fayette,4640
President,Bush / Cheney,Republican,county,Fayette,4747
President,Browne / Olivier,Libertarian Party of Iowa,county,Fayette,17
President,Nader / Laduke,Iowa Green Party,county,Fayette,174
President,Buchanan / Foster,Reform Party,county,Fayette,28
President,Harris / Trowe,Socialist Workers,county,Fayette,1
President,Phillips / Frazier,Constitution,county,Fayette,3
President,McReynolds / Hollis,Socialist Party USA,county,Fayette,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Fayette,7
President,Scattering,,county,Fayette,3
President,Totals,,county,Fayette,9621
President,Gore / Lieberman,Democratic,county,Floyd,3830
