office,candidate,party,reporting_level,jurisdiction,votes
President,Hagelin / Goldhaber,Nominated by Petition,county,Monona,6
President,Scattering,,county,Monona,5
President,Totals,,county,Monona,4560
President,Gore / Lieberman,Democratic,county,Monroe,1699
President,Bush / Cheney,Republican,county,Monroe,1858
President,Browne / Olivier,Libertarian Party of Iowa,county,Monroe,6
President,Nader / Laduke,Iowa Green Party,county,Monroe,54
President,Buchanan / Foster,Reform Party,county,Monroe,22
President,Harris / Trowe,Socialist Workers,county,Monroe,0
President,Phillips / Frazier,Constitution,county,Monroe,2
President,McReynolds / Hollis,Socialist Party USA,county,Monroe,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Monroe,3
President,Scattering,,county,Monroe,3
President,Totals,,county,Monroe,3647
President,Gore / Lieberman,Democratic,county,Montgomery,1838
President,Bush / Cheney,Republican,county,Montgomery,3417
President,Browne / Olivier,Libertarian Party of Iowa,county,Montgomery,15
President,Nader / Laduke,Iowa Green Party,county,Montgomery,85
President,Buchanan / Foster,Reform Party,county,Montgomery,20
President,Harris / Trowe,Socialist Workers,county,Montgomery,0
President,Phillips / Frazier,Constitution,county,Montgomery,0
President,McReynolds / Hollis,Socialist Party USA,county,Montgomery,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Montgomery,11
President,Scattering,,county,Montgomery,8
President,Totals,,county,Montgomery,5394
President,Gore / Lieberman,Democratic,county,Muscatine,8058
President,Bush / Cheney,Republican,county,Muscatine,7483
President,Browne / Olivier,Libertarian Party of Iowa,county,Muscatine,40
President,Nader / Laduke,Iowa Green Party,county,Muscatine,371
President,Buchanan / Foster,Reform Party,county,Muscatine,82
President,Harris / Trowe,Socialist Workers,county,Muscatine,5
President,Phillips / Frazier,Constitution,county,Muscatine,7
President,McReynolds / Hollis,Socialist Party USA,county,Muscatine,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Muscatine,10
President,Scattering,,county,Muscatine,19
President,Totals,,county,Muscatine,16076
President,Gore / Lieberman,Democratic,county,O'Brien,2170
President,Bush / Cheney,Republican,county,O'Brien,4674
President,Browne / Olivier,Libertarian Party of Iowa,county,O'Brien,14
President,Nader / Laduke,Iowa Green Party,county,O'Brien,108
President,Buchanan / Foster,Reform Party,county,O'Brien,53
President,Harris / Trowe,Socialist Workers,county,O'Brien,5
President,Phillips / Frazier,Constitution,county,O'Brien,2
President,McReynolds / Hollis,Socialist Party USA,county,O'Brien,2
President,Hagelin / Goldhaber,Nominated by Petition,county,O'Brien,7
President,Scattering,,county,O'Brien,9
President,Totals,,county,O'Brien,7044
President,Gore / Lieberman,Democratic,county,Osceola,913
President,Bush / Cheney,Republican,county,Osceola,2064
President,Browne / Olivier,Libertarian Party of Iowa,county,Osceola,5
President,Nader / Laduke,Iowa Green Party,county,Osceola,56
President,Buchanan / Foster,Reform Party,county,Osceola,14
President,Harris / Trowe,Socialist Workers,county,Osceola,0
President,Phillips / Frazier,Constitution,county,Osceola,10
President,McReynolds / Hollis,Socialist Party USA,county,Osceola,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Osceola,1
President,Scattering,,county,Osceola,0
President,Totals,,county,Osceola,3063
President,Gore / Lieberman,Democratic,county,Page,2293
President,Bush / Cheney,Republican,county,Page,4588
President,Browne / Olivier,Libertarian Party of Iowa,county,Page,11
President,Nader / Laduke,Iowa Green Party,county,Page,125
President,Buchanan / Foster,Reform Party,county,Page,21
President,Harris / Trowe,Socialist Workers,county,Page,0
President,Phillips / Frazier,Constitution,county,Page,1
President,McReynolds / Hollis,Socialist Party USA,county,Page,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Page,11
President,Scattering,,county,Page,8
President,Totals,,county,Page,7059
President,Gore / Lieberman,Democratic,county,Palo Alto,2326
President,Bush / Cheney,Republican,county,Palo Alto,2341
President,Browne / Olivier,Libertarian Party of Iowa,county,Palo Alto,29
President,Nader / Laduke,Iowa Green Party,county,Palo Alto,81
President,Buchanan / Foster,Reform Party,county,Palo Alto,36
President,Harris / Trowe,Socialist Workers,county,Palo Alto,3
President,Phillips / Frazier,Constitution,county,Palo Alto,1
President,McReynolds / Hollis,Socialist Party USA,county,Palo Alto,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Palo Alto,6
President,Scattering,,county,Palo Alto,0
President,Totals,,county,Palo Alto,4823
President,Gore / Lieberman,Democratic,county,Plymouth,3499
President,Bush / Cheney,Republican,county,Plymouth,6189
President,Browne / Olivier,Libertarian Party of Iowa,county,Plymouth,29
President,Nader / Laduke,Iowa Green Party,county,Plymouth,198
President,Buchanan / Foster,Reform Party,county,Plymouth,145
President,Harris / Trowe,Socialist Workers,county,Plymouth,7
President,Phillips / Frazier,Constitution,county,Plymouth,6
President,McReynolds / Hollis,Socialist Party USA,county,Plymouth,9
President,Hagelin / Goldhaber,Nominated by Petition,county,Plymouth,31
President,Scattering,,county,Plymouth,5
President,Totals,,county,Plymouth,10118
President,Gore / Lieberman,Democratic,county,Pocahontas,1736
President,Bush / Cheney,Republican,county,Pocahontas,2242
President,Browne / Olivier,Libertarian Party of Iowa,county,Pocahontas,23
President,Nader / Laduke,Iowa Green Party,county,Pocahontas,78
President,Buchanan / Foster,Reform Party,county,Pocahontas,48
President,Harris / Trowe,Socialist Workers,county,Pocahontas,0
President,Phillips / Frazier,Constitution,county,Pocahontas,2
President,McReynolds / Hollis,Socialist Party USA,county,Pocahontas,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Pocahontas,5
President,Scattering,,county,Pocahontas,7
President,Totals,,county,Pocahontas,4141
President,Gore / Lieberman,Democratic,county,Polk,89715
President,Bush / Cheney,Republican,county,Polk,79927
President,Browne / Olivier,Libertarian Party of Iowa,county,Polk,403
President,Nader / Laduke,Iowa Green Party,county,Polk,3366
President,Buchanan / Foster,Reform Party,county,Polk,416
President,Harris / Trowe,Socialist Workers,county,Polk,22
President,Phillips / Frazier,Constitution,county,Polk,94
President,McReynolds / Hollis,Socialist Party USA,county,Polk,5
President,Hagelin / Goldhaber,Nominated by Petition,county,Polk,65
President,Scattering,,county,Polk,154
President,Totals,,county,Polk,174167
President,Gore / Lieberman,Democratic,county,Pottawattamie,14726
President,Bush / Cheney,Republican,county,Pottawattamie,18783
President,Browne / Olivier,Libertarian Party of Iowa,county,Pottawattamie,70
President,Nader / Laduke,Iowa Green Party,county,Pottawattamie,690
President,Buchanan / Foster,Reform Party,county,Pottawattamie,122
President,Harris / Trowe,Socialist Workers,county,Pottawattamie,4
President,Phillips / Frazier,Constitution,county,Pottawattamie,17
President,McReynolds / Hollis,Socialist Party USA,county,Pottawattamie,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Pottawattamie,22
President,Scattering,,county,Pottawattamie,32
President,Totals,,county,Pottawattamie,34467
President,Gore / Lieberman,Democratic,county,Poweshiek,4222
President,Bush / Cheney,Republican,county,Poweshiek,4396
President,Browne / Olivier,Libertarian Party of Iowa,county,Poweshiek,20
President,Nader / Laduke,Iowa Green Party,county,Poweshiek,287
President,Buchanan / Foster,Reform Party,county,Poweshiek,34
President,Harris / Trowe,Socialist Workers,county,Poweshiek,0
President,Phillips / Frazier,Constitution,county,Poweshiek,4
President,McReynolds / Hollis,Socialist Party USA,county,Poweshiek,4
President,Hagelin / Goldhaber,Nominated by Petition,county,Poweshiek,5
President,Scattering,,county,Poweshiek,8
President,Totals,,county,Poweshiek,8980
President,Gore / Lieberman,Democratic,county,Ringgold,1246
President,Bush / Cheney,Republican,county,Ringgold,1369
President,Browne / Olivier,Libertarian Party of Iowa,county,Ringgold,5
President,Nader / Laduke,Iowa Green Party,county,Ringgold,47
President,Buchanan / Foster,Reform Party,county,Ringgold,10
President,Harris / Trowe,Socialist Workers,county,Ringgold,0
President,Phillips / Frazier,Constitution,county,Ringgold,1
President,McReynolds / Hollis,Socialist Party USA,county,Ringgold,2
President,Hagelin / Goldhaber,Nominated by Petition,county,Ringgold,5
President,Scattering,,county,Ringgold,7
President,Totals,,county,Ringgold,2692
President,Gore / Lieberman,Democratic,county,Sac,2099
President,Bush / Cheney,Republican,county,Sac,2776
President,Browne / Olivier,Libertarian Party of Iowa,county,Sac,7
President,Nader / Laduke,Iowa Green Party,county,Sac,97
President,Buchanan / Foster,Reform Party,county,Sac,46
President,Harris / Trowe,Socialist Workers,county,Sac,2
President,Phillips / Frazier,Constitution,county,Sac,1
President,McReynolds / Hollis,Socialist Party USA,county,Sac,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Sac,5
President,Scattering,,county,Sac,0
President,Totals,,county,Sac,5033
President,Gore / Lieberman,Democratic,county,Scott,35857
President,Bush / Cheney,Republican,county,Scott,32801
President,Browne / Olivier,Libertarian Party of Iowa,county,Scott,153
President,Nader / Laduke,Iowa Green Party,county,Scott,1386
President,Buchanan / Foster,Reform Party,county,Scott,247
President,Harris / Trowe,Socialist Workers,county,Scott,7
President,Phillips / Frazier,Constitution,county,Scott,26
President,McReynolds / Hollis,Socialist Party USA,county,Scott,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Scott,50
President,Scattering,,county,Scott,40
President,Totals,,county,Scott,70568
President,Gore / Lieberman,Democratic,county,Shelby,2179
President,Bush / Cheney,Republican,county,Shelby,3655
President,Browne / Olivier,Libertarian Party of Iowa,county,Shelby,7
President,Nader / Laduke,Iowa Green Party,county,Shelby,113
President,Buchanan / Foster,Reform Party,county,Shelby,36
President,Harris / Trowe,Socialist Workers,county,Shelby,2
President,Phillips / Frazier,Constitution,county,Shelby,3
President,McReynolds / Hollis,Socialist Party USA,county,Shelby,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Shelby,7
President,Scattering,,county,Shelby,6
President,Totals,,county,Shelby,6009
President,Gore / Lieberman,Democratic,county,Sioux,2148
President,Bush / Cheney,Republican,county,Sioux,12241
President,Browne / Olivier,Libertarian Party of Iowa,county,Sioux,35
President,Nader / Laduke,Iowa Green Party,county,Sioux,156
President,Buchanan / Foster,Reform Party,county,Sioux,83
President,Harris / Trowe,Socialist Workers,county,Sioux,1
President,Phillips / Frazier,Constitution,county,Sioux,21
President,McReynolds / Hollis,Socialist Party USA,county,Sioux,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Sioux,4
President,Scattering,,county,Sioux,2
President,Totals,,county,Sioux,14692
President,Gore / Lieberman,Democratic,county,Story,17478
President,Bush / Cheney,Republican,county,Story,16228
President,Browne / Olivier,Libertarian Party of Iowa,county,Story,139
President,Nader / Laduke,Iowa Green Party,county,Story,1317
President,Buchanan / Foster,Reform Party,county,Story,91
President,Harris / Trowe,Socialist Workers,county,Story,5
President,Phillips / Frazier,Constitution,county,Story,14
President,McReynolds / Hollis,Socialist Party USA,county,Story,3
President,Hagelin / Goldhaber,Nominated by Petition,county,Story,37
President,Scattering,,county,Story,52
President,Totals,,county,Story,35364
President,Gore / Lieberman,Democratic,county,Tama,4045
President,Bush / Cheney,Republican,county,Tama,4034
President,Browne / Olivier,Libertarian Party of Iowa,county,Tama,23
President,Nader / Laduke,Iowa Green Party,county,Tama,160
President,Buchanan / Foster,Reform Party,county,Tama,32
President,Harris / Trowe,Socialist Workers,county,Tama,0
President,Phillips / Frazier,Constitution,county,Tama,1
President,McReynolds / Hollis,Socialist Party USA,county,Tama,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Tama,8
President,Scattering,,county,Tama,12
President,Totals,,county,Tama,8315
President,Gore / Lieberman,Democratic,county,Taylor,1247
President,Bush / Cheney,Republican,county,Taylor,1770
President,Browne / Olivier,Libertarian Party of Iowa,county,Taylor,5
President,Nader / Laduke,Iowa Green Party,county,Taylor,46
President,Buchanan / Foster,Reform Party,county,Taylor,13
President,Harris / Trowe,Socialist Workers,county,Taylor,0
President,Phillips / Frazier,Constitution,county,Taylor,2
President,McReynolds / Hollis,Socialist Party USA,county,Taylor,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Taylor,10
President,Scattering,,county,Taylor,2
President,Totals,,county,Taylor,3096
President,Gore / Lieberman,Democratic,county,Union,2540
President,Bush / Cheney,Republican,county,Union,3003
President,Browne / Olivier,Libertarian Party of Iowa,county,Union,8
President,Nader / Laduke,Iowa Green Party,county,Union,108
President,Buchanan / Foster,Reform Party,county,Union,45
President,Harris / Trowe,Socialist Workers,county,Union,5
President,Phillips / Frazier,Constitution,county,Union,8
President,McReynolds / Hollis,Socialist Party USA,county,Union,2
President,Hagelin / Goldhaber,Nominated by Petition,county,Union,17
President,Scattering,,county,Union,4
President,Totals,,county,Union,5740
President,Gore / Lieberman,Democratic,county,Van Buren,1440
President,Bush / Cheney,Republican,county,Van Buren,2016
President,Browne / Olivier,Libertarian Party of Iowa,county,Van Buren,5
President,Nader / Laduke,Iowa Green Party,county,Van Buren,51
President,Buchanan / Foster,Reform Party,county,Van Buren,35
President,Harris / Trowe,Socialist Workers,county,Van Buren,1
President,Phillips / Frazier,Constitution,county,Van Buren,4
President,McReynolds / Hollis,Socialist Party USA,county,Van Buren,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Van Buren,6
President,Scattering,,county,Van Buren,3
President,Totals,,county,Van Buren,3561
President,Gore / Lieberman,Democratic,county,Wapello,8355
President,Bush / Cheney,Republican,county,Wapello,6313
President,Browne / Olivier,Libertarian Party of Iowa,county,Wapello,47
President,Nader / Laduke,Iowa Green Party,county,Wapello,317
President,Buchanan / Foster,Reform Party,county,Wapello,62
President,Harris / Trowe,Socialist Workers,county,Wapello,1
President,Phillips / Frazier,Constitution,county,Wapello,9
President,McReynolds / Hollis,Socialist Party USA,county,Wapello,2
President,Hagelin / Goldhaber,Nominated by Petition,county,Wapello,20
President,Scattering,,county,Wapello,13
President,Totals,,county,Wapello,15139
President,Gore / Lieberman,Democratic,county,Warren,9521
President,Bush / Cheney,Republican,county,Warren,9621
President,Browne / Olivier,Libertarian Party of Iowa,county,Warren,38
President,Nader / Laduke,Iowa Green Party,county,Warren,371
President,Buchanan / Foster,Reform Party,county,Warren,54
President,Harris / Trowe,Socialist Workers,county,Warren,3
President,Phillips / Frazier,Constitution,county,Warren,22
President,McReynolds / Hollis,Socialist Party USA,county,Warren,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Warren,10
President,Scattering,,county,Warren,13
President,Totals,,county,Warren,19653
President,Gore / Lieberman,Democratic,county,Washington,3932
President,Bush / Cheney,Republican,county,Washington,4827
President,Browne / Olivier,Libertarian Party of Iowa,county,Washington,26
President,Nader / Laduke,Iowa Green Party,county,Washington,245
President,Buchanan / Foster,Reform Party,county,Washington,41
President,Harris / Trowe,Socialist Workers,county,Washington,1
President,Phillips / Frazier,Constitution,county,Washington,7
President,McReynolds / Hollis,Socialist Party USA,county,Washington,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Washington,11
President,Scattering,,county,Washington,4
President,Totals,,county,Washington,9094
President,Gore / Lieberman,Democratic,county,Wayne,1300
President,Bush / Cheney,Republican,county,Wayne,1666
President,Browne / Olivier,Libertarian Party of Iowa,county,Wayne,5
President,Nader / Laduke,Iowa Green Party,county,Wayne,31
President,Buchanan / Foster,Reform Party,county,Wayne,13
President,Harris / Trowe,Socialist Workers,county,Wayne,1
President,Phillips / Frazier,Constitution,county,Wayne,3
President,McReynolds / Hollis,Socialist Party USA,county,Wayne,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Wayne,1
President,Scattering,,county,Wayne,1
President,Totals,,county,Wayne,3021
President,Gore / Lieberman,Democratic,county,Webster,8479
President,Bush / Cheney,Republican,county,Webster,8172
President,Browne / Olivier,Libertarian Party of Iowa,county,Webster,18
President,Nader / Laduke,Iowa Green Party,county,Webster,282
President,Buchanan / Foster,Reform Party,county,Webster,68
President,Harris / Trowe,Socialist Workers,county,Webster,2
President,Phillips / Frazier,Constitution,county,Webster,8
President,McReynolds / Hollis,Socialist Party USA,county,Webster,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Webster,10
President,Scattering,,county,Webster,9
President,Totals,,county,Webster,17048
President,Gore / Lieberman,Democratic,county,Winnebago,2691
President,Bush / Cheney,Republican,county,Winnebago,2662
President,Browne / Olivier,Libertarian Party of Iowa,county,Winnebago,17
President,Nader / Laduke,Iowa Green Party,county,Winnebago,115
President,Buchanan / Foster,Reform Party,county,Winnebago,27
President,Harris / Trowe,Socialist Workers,county,Winnebago,2
President,Phillips / Frazier,Constitution,county,Winnebago,1
President,McReynolds / Hollis,Socialist Party USA,county,Winnebago,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Winnebago,5
President,Scattering,,county,Winnebago,6
President,Totals,,county,Winnebago,5527
President,Gore / Lieberman,Democratic,county,Winneshiek,4339
President,Bush / Cheney,Republican,county,Winneshiek,4647
President,Browne / Olivier,Libertarian Party of Iowa,county,Winneshiek,12
President,Nader / Laduke,Iowa Green Party,county,Winneshiek,343
President,Buchanan / Foster,Reform Party,county,Winneshiek,42
President,Harris / Trowe,Socialist Workers,county,Winneshiek,1
President,Phillips / Frazier,Constitution,county,Winneshiek,3
President,McReynolds / Hollis,Socialist Party USA,county,Winneshiek,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Winneshiek,18
President,Scattering,,county,Winneshiek,11
President,Totals,,county,Winneshiek,9417
President,Gore / Lieberman,Democratic,county,Woodbury,17691
President,Bush / Cheney,Republican,county,Woodbury,18864
President,Browne / Olivier,Libertarian Party of Iowa,county,Woodbury,76
President,Nader / Laduke,Iowa Green Party,county,Woodbury,804
President,Buchanan / Foster,Reform Party,county,Woodbury,406
President,Harris / Trowe,Socialist Workers,county,Woodbury,4
President,Phillips / Frazier,Constitution,county,Woodbury,19
President,McReynolds / Hollis,Socialist Party USA,county,Woodbury,2
President,Hagelin / Goldhaber,Nominated by Petition,county,Woodbury,7
President,Scattering,,county,Woodbury,23
President,Totals,,county,Woodbury,37896
President,Gore / Lieberman,Democratic,county,Worth,2208
President,Bush / Cheney,Republican,county,Worth,1659
President,Browne / Olivier,Libertarian Party of Iowa,county,Worth,9
President,Nader / Laduke,Iowa Green Party,county,Worth,91
President,Buchanan / Foster,Reform Party,county,Worth,18
President,Harris / Trowe,Socialist Workers,county,Worth,0
President,Phillips / Frazier,Constitution,county,Worth,0
President,McReynolds / Hollis,Socialist Party USA,county,Worth,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Worth,10
President,Scattering,,county,Worth,9
President,Totals,,county,Worth,4004
President,Gore / Lieberman,Democratic,county,Wright,2796
President,Bush / Cheney,Republican,county,Wright,3384
President,Browne / Olivier,Libertarian Party of Iowa,county,Wright,9
President,Nader / Laduke,Iowa Green Party,county,Wright,107
President,Buchanan / Foster,Reform Party,county,Wright,21
President,Harris / Trowe,Socialist Workers,county,Wright,3
President,Phillips / Frazier,Constitution,county,Wright,3
President,McReynolds / Hollis,Socialist Party USA,county,Wright,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Wright,9
President,Scattering,,county,Wright,3
President,Totals,,county,Wright,6336
President,Gore / Lieberman,Democratic,county,Totals,638517
President,Bush / Cheney,Republican,county,Totals,634373
President,Browne / Olivier,Libertarian Party of Iowa,county,Totals,3209
President,Nader / Laduke,Iowa Green Party,county,Totals,29374
President,Buchanan / Foster,Reform Party,county,Totals,5731
President,Harris / Trowe,Socialist Workers,county,Totals,190
President,Phillips / Frazier,Constitution,county,Totals,613
President,McReynolds / Hollis,Socialist Party USA,county,Totals,107
President,Hagelin / Goldhaber,Nominated by Petition,county,Totals,2281
President,Scattering,,county,Totals,1168
President,Totals,,county,Totals,1315563
