office,district,candidate,party,reporting_level,jurisdiction,vote_type,votes
President/Vice President,,Total,,county,Woodbury,,45292
President/Vice President,,Over Votes,,county,Woodbury,,137
President/Vice President,,Under Votes,,county,Woodbury,,136
President/Vice President,,Write-In,,county,Woodbury,,306
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Woodbury,,21
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Woodbury,,14
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Woodbury,,16
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Woodbury,,334
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Woodbury,,91
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Woodbury,,94
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Woodbury,,22302
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Woodbury,,21841
President/Vice President,,Total,,county,Story,,47265
President/Vice President,,Over Votes,,county,Story,,20
President/Vice President,,Under Votes,,county,Story,,95
President/Vice President,,Write-In,,county,Story,,250
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Story,,85
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Story,,12
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Story,,12
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Story,,727
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Story,,139
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Story,,65
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Story,,26192
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Story,,19668
President/Vice President,,Total,,county,Page,,7109
President/Vice President,,Over Votes,,county,Page,,8
President/Vice President,,Under Votes,,county,Page,,22
President/Vice President,,Write-In,,county,Page,,30
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Page,,5
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Page,,12
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Page,,1
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Page,,43
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Page,,12
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Page,,15
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Page,,2613
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Page,,4348
President/Vice President,,Total,,county,Madison,,8509
President/Vice President,,Over Votes,,county,Madison,,12
President/Vice President,,Under Votes,,county,Madison,,39
President/Vice President,,Write-In,,county,Madison,,43
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Madison,,11
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Madison,,3
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Madison,,0
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Madison,,90
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Madison,,14
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Madison,,29
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Madison,,3630
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Madison,,4638
President/Vice President,,Total,,county,Jackson,,10330
President/Vice President,,Over Votes,,county,Jackson,,22
President/Vice President,,Under Votes,,county,Jackson,,66
President/Vice President,,Write-In,,county,Jackson,,49
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Jackson,,3
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Jackson,,1
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Jackson,,1
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Jackson,,67
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Jackson,,15
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Jackson,,22
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Jackson,,5907
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Jackson,,4177
President/Vice President,,Total,,county,Greene,,4891
President/Vice President,,Over Votes,,county,Greene,,4
President/Vice President,,Under Votes,,county,Greene,,41
President/Vice President,,Write-In,,county,Greene,,28
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Greene,,6
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Greene,,5
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Greene,,3
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Greene,,30
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Greene,,8
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Greene,,11
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Greene,,2375
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Greene,,2380
President/Vice President,,Total,,county,Dallas,,38184
President/Vice President,,Over Votes,,county,Dallas,,14
President/Vice President,,Under Votes,,county,Dallas,,54
President/Vice President,,Write-In,,county,Dallas,,139
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Dallas,,24
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Dallas,,4
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Dallas,,6
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Dallas,,273
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Dallas,,49
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Dallas,,57
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Dallas,,16576
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Dallas,,20988
President/Vice President,,Total,,county,Calhoun,,5268
President/Vice President,,Over Votes,,county,Calhoun,,12
President/Vice President,,Under Votes,,county,Calhoun,,26
President/Vice President,,Write-In,,county,Calhoun,,32
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Calhoun,,1
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Calhoun,,1
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Calhoun,,0
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Calhoun,,39
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Calhoun,,12
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Calhoun,,16
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Calhoun,,2238
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Calhoun,,2891
President/Vice President,,Total,,county,Adair,,4020
President/Vice President,,Over Votes,,county,Adair,,4
President/Vice President,,Under Votes,,county,Adair,,20
President/Vice President,,Write-In,,county,Adair,,31
President/Vice President,,Jerry Litzel / Jim Litzel,Nominated by Petition,county,Adair,,6
President/Vice President,,James Harris / Alyson Kennedy,Socialist Workers Party,county,Adair,,5
President/Vice President,,Gloria LaRiva / Stefanie Beacham,Party for Socialism and Liberation,county,Adair,,3
President/Vice President,,Gary Johnson / James P. Gray,Libertarian,county,Adair,,30
President/Vice President,,Jill Stein / Cheri Honkala,Iowa Green Party,county,Adair,,9
President/Vice President,,Virgil Goode / James Clymer,Constitution,county,Adair,,8
President/Vice President,,Barack Obama / Joe Biden,Democratic,county,Adair,,1790
President/Vice President,,Mitt Romney / Paul Ryan,Republican,county,Adair,,2114
President/Vice President,,Total,,county,Adams,,2206
President/Vice President,,Over Votes,,county,Adams,,4
President/Vice President,,Under Votes,,county,Adams,,17
President/Vice President,,Write-In,,county,Adams,,12
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Adams,,8
President/Vice President,,James Harris,Socialist Workers Party,county,Adams,,4
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Adams,,0
President/Vice President,,Gary Johnson,Libertarian,county,Adams,,16
President/Vice President,,Jill Stein,Iowa Green Party,county,Adams,,3
President/Vice President,,Virgil Goode,Constitution,county,Adams,,6
President/Vice President,,Barack Obama,Democratic,county,Adams,,1028
President/Vice President,,Mitt Romney,Republican,county,Adams,,1108
President/Vice President,,Total,,county,Allamakee,,7003
President/Vice President,,Over Votes,,county,Allamakee,,18
President/Vice President,,Under Votes,,county,Allamakee,,51
President/Vice President,,Write-In,,county,Allamakee,,34
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Allamakee,,2
President/Vice President,,James Harris,Socialist Workers Party,county,Allamakee,,17
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Allamakee,,1
President/Vice President,,Gary Johnson,Libertarian,county,Allamakee,,27
President/Vice President,,Jill Stein,Iowa Green Party,county,Allamakee,,27
President/Vice President,,Virgil Goode,Constitution,county,Allamakee,,9
President/Vice President,,Barack Obama,Democratic,county,Allamakee,,3553
President/Vice President,,Mitt Romney,Republican,county,Allamakee,,3264
President/Vice President,,Total,,county,Appanoose,,6296
President/Vice President,,Over Votes,,county,Appanoose,,13
President/Vice President,,Under Votes,,county,Appanoose,,38
President/Vice President,,Write-In,,county,Appanoose,,44
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Appanoose,,8
President/Vice President,,James Harris,Socialist Workers Party,county,Appanoose,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Appanoose,,2
President/Vice President,,Gary Johnson,Libertarian,county,Appanoose,,44
President/Vice President,,Jill Stein,Iowa Green Party,county,Appanoose,,18
President/Vice President,,Virgil Goode,Constitution,county,Appanoose,,15
President/Vice President,,Barack Obama,Democratic,county,Appanoose,,2951
President/Vice President,,Mitt Romney,Republican,county,Appanoose,,3161
President/Vice President,,Total,,county,Audubon,,3506
President/Vice President,,Over Votes,,county,Audubon,,7
President/Vice President,,Under Votes,,county,Audubon,,42
President/Vice President,,Write-In,,county,Audubon,,12
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Audubon,,2
President/Vice President,,James Harris,Socialist Workers Party,county,Audubon,,1
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Audubon,,1
President/Vice President,,Gary Johnson,Libertarian,county,Audubon,,12
President/Vice President,,Jill Stein,Iowa Green Party,county,Audubon,,8
President/Vice President,,Virgil Goode,Constitution,county,Audubon,,8
President/Vice President,,Barack Obama,Democratic,county,Audubon,,1611
President/Vice President,,Mitt Romney,Republican,county,Audubon,,1802
President/Vice President,,Total,,county,Benton,,14107
President/Vice President,,Over Votes,,county,Benton,,13
President/Vice President,,Under Votes,,county,Benton,,71
President/Vice President,,Write-In,,county,Benton,,47
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Benton,,10
President/Vice President,,James Harris,Socialist Workers Party,county,Benton,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Benton,,6
President/Vice President,,Gary Johnson,Libertarian,county,Benton,,100
President/Vice President,,Jill Stein,Iowa Green Party,county,Benton,,25
President/Vice President,,Virgil Goode,Constitution,county,Benton,,31
President/Vice President,,Barack Obama,Democratic,county,Benton,,6862
President/Vice President,,Mitt Romney,Republican,county,Benton,,6940
President/Vice President,,Total,,county,Black Hawk,,67468
President/Vice President,,Over Votes,,county,Black Hawk,,174
President/Vice President,,Under Votes,,county,Black Hawk,,153
President/Vice President,,Write-In,,county,Black Hawk,,289
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Black Hawk,,14
President/Vice President,,James Harris,Socialist Workers Party,county,Black Hawk,,15
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Black Hawk,,13
President/Vice President,,Gary Johnson,Libertarian,county,Black Hawk,,540
President/Vice President,,Jill Stein,Iowa Green Party,county,Black Hawk,,118
President/Vice President,,Virgil Goode,Constitution,county,Black Hawk,,96
President/Vice President,,Barack Obama,Democratic,county,Black Hawk,,39821
President/Vice President,,Mitt Romney,Republican,county,Black Hawk,,26235
President/Vice President,,Total,,county,Boone,,14462
President/Vice President,,Over Votes,,county,Boone,,20
President/Vice President,,Under Votes,,county,Boone,,54
President/Vice President,,Write-In,,county,Boone,,76
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Boone,,21
President/Vice President,,James Harris,Socialist Workers Party,county,Boone,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Boone,,1
President/Vice President,,Gary Johnson,Libertarian,county,Boone,,122
President/Vice President,,Jill Stein,Iowa Green Party,county,Boone,,43
President/Vice President,,Virgil Goode,Constitution,county,Boone,,55
President/Vice President,,Barack Obama,Democratic,county,Boone,,7512
President/Vice President,,Mitt Romney,Republican,county,Boone,,6556
President/Vice President,,Total,,county,Bremer,,13399
President/Vice President,,Over Votes,,county,Bremer,,18
President/Vice President,,Under Votes,,county,Bremer,,35
President/Vice President,,Write-In,,county,Bremer,,53
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Bremer,,7
President/Vice President,,James Harris,Socialist Workers Party,county,Bremer,,4
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Bremer,,3
President/Vice President,,Gary Johnson,Libertarian,county,Bremer,,82
President/Vice President,,Jill Stein,Iowa Green Party,county,Bremer,,16
President/Vice President,,Virgil Goode,Constitution,county,Bremer,,13
President/Vice President,,Barack Obama,Democratic,county,Bremer,,6763
President/Vice President,,Mitt Romney,Republican,county,Bremer,,6405
President/Vice President,,Total,,county,Buchanan,,10602
President/Vice President,,Over Votes,,county,Buchanan,,17
President/Vice President,,Under Votes,,county,Buchanan,,50
President/Vice President,,Write-In,,county,Buchanan,,42
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Buchanan,,5
President/Vice President,,James Harris,Socialist Workers Party,county,Buchanan,,5
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Buchanan,,4
President/Vice President,,Gary Johnson,Libertarian,county,Buchanan,,65
President/Vice President,,Jill Stein,Iowa Green Party,county,Buchanan,,34
President/Vice President,,Virgil Goode,Constitution,county,Buchanan,,19
President/Vice President,,Barack Obama,Democratic,county,Buchanan,,5911
President/Vice President,,Mitt Romney,Republican,county,Buchanan,,4450
President/Vice President,,Total,,county,Buena Vista,,8431
President/Vice President,,Over Votes,,county,Buena Vista,,25
President/Vice President,,Under Votes,,county,Buena Vista,,23
President/Vice President,,Write-In,,county,Buena Vista,,36
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Buena Vista,,4
President/Vice President,,James Harris,Socialist Workers Party,county,Buena Vista,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Buena Vista,,2
President/Vice President,,Gary Johnson,Libertarian,county,Buena Vista,,57
President/Vice President,,Jill Stein,Iowa Green Party,county,Buena Vista,,12
President/Vice President,,Virgil Goode,Constitution,county,Buena Vista,,16
President/Vice President,,Barack Obama,Democratic,county,Buena Vista,,3700
President/Vice President,,Mitt Romney,Republican,county,Buena Vista,,4554
President/Vice President,,Total,,county,Butler,,7575
President/Vice President,,Over Votes,,county,Butler,,7
President/Vice President,,Under Votes,,county,Butler,,23
President/Vice President,,Write-In,,county,Butler,,24
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Butler,,8
President/Vice President,,James Harris,Socialist Workers Party,county,Butler,,1
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Butler,,1
President/Vice President,,Gary Johnson,Libertarian,county,Butler,,33
President/Vice President,,Jill Stein,Iowa Green Party,county,Butler,,18
President/Vice President,,Virgil Goode,Constitution,county,Butler,,25
President/Vice President,,Barack Obama,Democratic,county,Butler,,3329
President/Vice President,,Mitt Romney,Republican,county,Butler,,4106
President/Vice President,,Total,,county,Carroll,,10759
President/Vice President,,Over Votes,,county,Carroll,,17
President/Vice President,,Under Votes,,county,Carroll,,68
President/Vice President,,Write-In,,county,Carroll,,34
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Carroll,,8
President/Vice President,,James Harris,Socialist Workers Party,county,Carroll,,1
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Carroll,,5
President/Vice President,,Gary Johnson,Libertarian,county,Carroll,,42
President/Vice President,,Jill Stein,Iowa Green Party,county,Carroll,,13
President/Vice President,,Virgil Goode,Constitution,county,Carroll,,23
President/Vice President,,Barack Obama,Democratic,county,Carroll,,4947
President/Vice President,,Mitt Romney,Republican,county,Carroll,,5601
President/Vice President,,Total,,county,Cass,,7241
President/Vice President,,Over Votes,,county,Cass,,3
President/Vice President,,Under Votes,,county,Cass,,33
President/Vice President,,Write-In,,county,Cass,,30
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Cass,,5
President/Vice President,,James Harris,Socialist Workers Party,county,Cass,,9
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Cass,,4
President/Vice President,,Gary Johnson,Libertarian,county,Cass,,46
President/Vice President,,Jill Stein,Iowa Green Party,county,Cass,,15
President/Vice President,,Virgil Goode,Constitution,county,Cass,,21
President/Vice President,,Barack Obama,Democratic,county,Cass,,2858
President/Vice President,,Mitt Romney,Republican,county,Cass,,4217
President/Vice President,,Total,,county,Cedar,,9702
President/Vice President,,Over Votes,,county,Cedar,,4
President/Vice President,,Under Votes,,county,Cedar,,49
President/Vice President,,Write-In,,county,Cedar,,41
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Cedar,,5
President/Vice President,,James Harris,Socialist Workers Party,county,Cedar,,1
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Cedar,,0
President/Vice President,,Gary Johnson,Libertarian,county,Cedar,,72
President/Vice President,,Jill Stein,Iowa Green Party,county,Cedar,,15
President/Vice President,,Virgil Goode,Constitution,county,Cedar,,14
President/Vice President,,Barack Obama,Democratic,county,Cedar,,4972
President/Vice President,,Mitt Romney,Republican,county,Cedar,,4529
President/Vice President,,Total,,county,Cerro Gordo,,23938
President/Vice President,,Over Votes,,county,Cerro Gordo,,54
President/Vice President,,Under Votes,,county,Cerro Gordo,,60
President/Vice President,,Write-In,,county,Cerro Gordo,,116
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Cerro Gordo,,12
President/Vice President,,James Harris,Socialist Workers Party,county,Cerro Gordo,,7
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Cerro Gordo,,6
President/Vice President,,Gary Johnson,Libertarian,county,Cerro Gordo,,147
President/Vice President,,Jill Stein,Iowa Green Party,county,Cerro Gordo,,48
President/Vice President,,Virgil Goode,Constitution,county,Cerro Gordo,,44
President/Vice President,,Barack Obama,Democratic,county,Cerro Gordo,,13316
President/Vice President,,Mitt Romney,Republican,county,Cerro Gordo,,10128
President/Vice President,,Total,,county,Cherokee,,6439
President/Vice President,,Over Votes,,county,Cherokee,,9
President/Vice President,,Under Votes,,county,Cherokee,,15
President/Vice President,,Write-In,,county,Cherokee,,31
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Cherokee,,4
President/Vice President,,James Harris,Socialist Workers Party,county,Cherokee,,5
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Cherokee,,3
President/Vice President,,Gary Johnson,Libertarian,county,Cherokee,,45
President/Vice President,,Jill Stein,Iowa Green Party,county,Cherokee,,19
President/Vice President,,Virgil Goode,Constitution,county,Cherokee,,12
President/Vice President,,Barack Obama,Democratic,county,Cherokee,,2634
President/Vice President,,Mitt Romney,Republican,county,Cherokee,,3662
President/Vice President,,Total,,county,Chickasaw,,6521
President/Vice President,,Over Votes,,county,Chickasaw,,9
President/Vice President,,Under Votes,,county,Chickasaw,,28
President/Vice President,,Write-In,,county,Chickasaw,,20
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Chickasaw,,4
President/Vice President,,James Harris,Socialist Workers Party,county,Chickasaw,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Chickasaw,,3
President/Vice President,,Gary Johnson,Libertarian,county,Chickasaw,,35
President/Vice President,,Jill Stein,Iowa Green Party,county,Chickasaw,,15
President/Vice President,,Virgil Goode,Constitution,county,Chickasaw,,15
President/Vice President,,Barack Obama,Democratic,county,Chickasaw,,3554
President/Vice President,,Mitt Romney,Republican,county,Chickasaw,,2836
President/Vice President,,Total,,county,Clarke,,4458
President/Vice President,,Over Votes,,county,Clarke,,9
President/Vice President,,Under Votes,,county,Clarke,,19
President/Vice President,,Write-In,,county,Clarke,,30
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Clarke,,10
President/Vice President,,James Harris,Socialist Workers Party,county,Clarke,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Clarke,,2
President/Vice President,,Gary Johnson,Libertarian,county,Clarke,,38
President/Vice President,,Jill Stein,Iowa Green Party,county,Clarke,,17
President/Vice President,,Virgil Goode,Constitution,county,Clarke,,18
President/Vice President,,Barack Obama,Democratic,county,Clarke,,2189
President/Vice President,,Mitt Romney,Republican,county,Clarke,,2124
President/Vice President,,Total,,county,Clay,,8568
President/Vice President,,Over Votes,,county,Clay,,20
President/Vice President,,Under Votes,,county,Clay,,46
President/Vice President,,Write-In,,county,Clay,,61
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Clay,,5
President/Vice President,,James Harris,Socialist Workers Party,county,Clay,,5
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Clay,,0
President/Vice President,,Gary Johnson,Libertarian,county,Clay,,58
President/Vice President,,Jill Stein,Iowa Green Party,county,Clay,,24
President/Vice President,,Virgil Goode,Constitution,county,Clay,,13
President/Vice President,,Barack Obama,Democratic,county,Clay,,3385
President/Vice President,,Mitt Romney,Republican,county,Clay,,4951
President/Vice President,,Total,,county,Clayton,,9200
President/Vice President,,Over Votes,,county,Clayton,,21
President/Vice President,,Under Votes,,county,Clayton,,41
President/Vice President,,Write-In,,county,Clayton,,47
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Clayton,,4
President/Vice President,,James Harris,Socialist Workers Party,county,Clayton,,5
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Clayton,,3
President/Vice President,,Gary Johnson,Libertarian,county,Clayton,,57
President/Vice President,,Jill Stein,Iowa Green Party,county,Clayton,,33
President/Vice President,,Virgil Goode,Constitution,county,Clayton,,19
President/Vice President,,Barack Obama,Democratic,county,Clayton,,4806
President/Vice President,,Mitt Romney,Republican,county,Clayton,,4164
President/Vice President,,Total,,county,Clinton,,25089
President/Vice President,,Over Votes,,county,Clinton,,28
President/Vice President,,Under Votes,,county,Clinton,,61
President/Vice President,,Write-In,,county,Clinton,,100
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Clinton,,16
President/Vice President,,James Harris,Socialist Workers Party,county,Clinton,,6
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Clinton,,2
President/Vice President,,Gary Johnson,Libertarian,county,Clinton,,187
President/Vice President,,Jill Stein,Iowa Green Party,county,Clinton,,55
President/Vice President,,Virgil Goode,Constitution,county,Clinton,,61
President/Vice President,,Barack Obama,Democratic,county,Clinton,,15141
President/Vice President,,Mitt Romney,Republican,county,Clinton,,9432
President/Vice President,,Total,,county,Crawford,,6830
President/Vice President,,Over Votes,,county,Crawford,,12
President/Vice President,,Under Votes,,county,Crawford,,66
President/Vice President,,Write-In,,county,Crawford,,24
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Crawford,,3
President/Vice President,,James Harris,Socialist Workers Party,county,Crawford,,3
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Crawford,,4
President/Vice President,,Gary Johnson,Libertarian,county,Crawford,,32
President/Vice President,,Jill Stein,Iowa Green Party,county,Crawford,,16
President/Vice President,,Virgil Goode,Constitution,county,Crawford,,9
President/Vice President,,Barack Obama,Democratic,county,Crawford,,3066
President/Vice President,,Mitt Romney,Republican,county,Crawford,,3595
President/Vice President,,Total,,county,Davis,,3848
President/Vice President,,Over Votes,,county,Davis,,41
President/Vice President,,Under Votes,,county,Davis,,34
President/Vice President,,Write-In,,county,Davis,,28
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Davis,,4
President/Vice President,,James Harris,Socialist Workers Party,county,Davis,,1
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Davis,,2
President/Vice President,,Gary Johnson,Libertarian,county,Davis,,38
President/Vice President,,Jill Stein,Iowa Green Party,county,Davis,,10
President/Vice President,,Virgil Goode,Constitution,county,Davis,,32
President/Vice President,,Barack Obama,Democratic,county,Davis,,1520
President/Vice President,,Mitt Romney,Republican,county,Davis,,2138
