office,district,candidate,party,reporting_level,jurisdiction,vote_type,votes
President/Vice President,,Total,,county,Decatur,,3878
President/Vice President,,Over Votes,,county,Decatur,,9
President/Vice President,,Under Votes,,county,Decatur,,36
President/Vice President,,Write-In,,county,Decatur,,18
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Decatur,,9
President/Vice President,,James Harris,Socialist Workers Party,county,Decatur,,5
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Decatur,,3
President/Vice President,,Gary Johnson,Libertarian,county,Decatur,,33
President/Vice President,,Jill Stein,Iowa Green Party,county,Decatur,,15
President/Vice President,,Virgil Goode,Constitution,county,Decatur,,12
President/Vice President,,Barack Obama,Democratic,county,Decatur,,1791
President/Vice President,,Mitt Romney,Republican,county,Decatur,,1947
President/Vice President,,Total,,county,Delaware,,9405
President/Vice President,,Over Votes,,county,Delaware,,10
President/Vice President,,Under Votes,,county,Delaware,,17
President/Vice President,,Write-In,,county,Delaware,,36
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Delaware,,5
President/Vice President,,James Harris,Socialist Workers Party,county,Delaware,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Delaware,,3
President/Vice President,,Gary Johnson,Libertarian,county,Delaware,,46
President/Vice President,,Jill Stein,Iowa Green Party,county,Delaware,,24
President/Vice President,,Virgil Goode,Constitution,county,Delaware,,10
President/Vice President,,Barack Obama,Democratic,county,Delaware,,4616
President/Vice President,,Mitt Romney,Republican,county,Delaware,,4636
President/Vice President,,Total,,county,Des Moines,,20505
President/Vice President,,Over Votes,,county,Des Moines,,30
President/Vice President,,Under Votes,,county,Des Moines,,90
President/Vice President,,Write-In,,county,Des Moines,,100
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Des Moines,,10
President/Vice President,,James Harris,Socialist Workers Party,county,Des Moines,,7
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Des Moines,,6
President/Vice President,,Gary Johnson,Libertarian,county,Des Moines,,137
President/Vice President,,Jill Stein,Iowa Green Party,county,Des Moines,,68
President/Vice President,,Virgil Goode,Constitution,county,Des Moines,,33
President/Vice President,,Barack Obama,Democratic,county,Des Moines,,11888
President/Vice President,,Mitt Romney,Republican,county,Des Moines,,8136
President/Vice President,,Total,,county,Dickinson,,10200
President/Vice President,,Over Votes,,county,Dickinson,,9
President/Vice President,,Under Votes,,county,Dickinson,,32
President/Vice President,,Write-In,,county,Dickinson,,33
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Dickinson,,6
President/Vice President,,James Harris,Socialist Workers Party,county,Dickinson,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Dickinson,,2
President/Vice President,,Gary Johnson,Libertarian,county,Dickinson,,68
President/Vice President,,Jill Stein,Iowa Green Party,county,Dickinson,,23
President/Vice President,,Virgil Goode,Constitution,county,Dickinson,,18
President/Vice President,,Barack Obama,Democratic,county,Dickinson,,4095
President/Vice President,,Mitt Romney,Republican,county,Dickinson,,5912
President/Vice President,,Total,,county,Dubuque,,51150
President/Vice President,,Over Votes,,county,Dubuque,,43
President/Vice President,,Under Votes,,county,Dubuque,,213
President/Vice President,,Write-In,,county,Dubuque,,197
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Dubuque,,13
President/Vice President,,James Harris,Socialist Workers Party,county,Dubuque,,13
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Dubuque,,9
President/Vice President,,Gary Johnson,Libertarian,county,Dubuque,,438
President/Vice President,,Jill Stein,Iowa Green Party,county,Dubuque,,111
President/Vice President,,Virgil Goode,Constitution,county,Dubuque,,65
President/Vice President,,Barack Obama,Democratic,county,Dubuque,,28768
President/Vice President,,Mitt Romney,Republican,county,Dubuque,,21280
President/Vice President,,Total,,county,Emmet,,4716
President/Vice President,,Over Votes,,county,Emmet,,9
President/Vice President,,Under Votes,,county,Emmet,,20
President/Vice President,,Write-In,,county,Emmet,,21
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Emmet,,2
President/Vice President,,James Harris,Socialist Workers Party,county,Emmet,,3
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Emmet,,2
President/Vice President,,Gary Johnson,Libertarian,county,Emmet,,27
President/Vice President,,Jill Stein,Iowa Green Party,county,Emmet,,16
President/Vice President,,Virgil Goode,Constitution,county,Emmet,,10
President/Vice President,,Barack Obama,Democratic,county,Emmet,,2099
President/Vice President,,Mitt Romney,Republican,county,Emmet,,2507
President/Vice President,,Total,,county,Fayette,,10400
President/Vice President,,Over Votes,,county,Fayette,,4
President/Vice President,,Under Votes,,county,Fayette,,30
President/Vice President,,Write-In,,county,Fayette,,24
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Fayette,,11
President/Vice President,,James Harris,Socialist Workers Party,county,Fayette,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Fayette,,0
President/Vice President,,Gary Johnson,Libertarian,county,Fayette,,56
President/Vice President,,Jill Stein,Iowa Green Party,county,Fayette,,28
President/Vice President,,Virgil Goode,Constitution,county,Fayette,,21
President/Vice President,,Barack Obama,Democratic,county,Fayette,,5732
President/Vice President,,Mitt Romney,Republican,county,Fayette,,4492
President/Vice President,,Total,,county,Floyd,,8309
President/Vice President,,Over Votes,,county,Floyd,,16
President/Vice President,,Under Votes,,county,Floyd,,36
President/Vice President,,Write-In,,county,Floyd,,17
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Floyd,,8
President/Vice President,,James Harris,Socialist Workers Party,county,Floyd,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Floyd,,2
President/Vice President,,Gary Johnson,Libertarian,county,Floyd,,43
President/Vice President,,Jill Stein,Iowa Green Party,county,Floyd,,22
President/Vice President,,Virgil Goode,Constitution,county,Floyd,,11
President/Vice President,,Barack Obama,Democratic,county,Floyd,,4680
President/Vice President,,Mitt Romney,Republican,county,Floyd,,3472
President/Vice President,,Total,,county,Franklin,,5224
President/Vice President,,Over Votes,,county,Franklin,,5
President/Vice President,,Under Votes,,county,Franklin,,33
President/Vice President,,Write-In,,county,Franklin,,38
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Franklin,,5
President/Vice President,,James Harris,Socialist Workers Party,county,Franklin,,0
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Franklin,,2
President/Vice President,,Gary Johnson,Libertarian,county,Franklin,,33
President/Vice President,,Jill Stein,Iowa Green Party,county,Franklin,,7
President/Vice President,,Virgil Goode,Constitution,county,Franklin,,12
President/Vice President,,Barack Obama,Democratic,county,Franklin,,2266
President/Vice President,,Mitt Romney,Republican,county,Franklin,,2823
President/Vice President,,Total,,county,Fremont,,3705
President/Vice President,,Over Votes,,county,Fremont,,9
President/Vice President,,Under Votes,,county,Fremont,,28
President/Vice President,,Write-In,,county,Fremont,,11
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Fremont,,2
President/Vice President,,James Harris,Socialist Workers Party,county,Fremont,,3
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Fremont,,5
President/Vice President,,Gary Johnson,Libertarian,county,Fremont,,24
President/Vice President,,Jill Stein,Iowa Green Party,county,Fremont,,9
President/Vice President,,Virgil Goode,Constitution,county,Fremont,,5
President/Vice President,,Barack Obama,Democratic,county,Fremont,,1637
President/Vice President,,Mitt Romney,Republican,county,Fremont,,1972
President/Vice President,,Total,,county,Grundy,,6981
President/Vice President,,Over Votes,,county,Grundy,,5
President/Vice President,,Under Votes,,county,Grundy,,14
President/Vice President,,Write-In,,county,Grundy,,41
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Grundy,,3
President/Vice President,,James Harris,Socialist Workers Party,county,Grundy,,6
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Grundy,,1
President/Vice President,,Gary Johnson,Libertarian,county,Grundy,,33
President/Vice President,,Jill Stein,Iowa Green Party,county,Grundy,,10
President/Vice President,,Virgil Goode,Constitution,county,Grundy,,18
President/Vice President,,Barack Obama,Democratic,county,Grundy,,2635
President/Vice President,,Mitt Romney,Republican,county,Grundy,,4215
President/Vice President,,Total,,county,Guthrie,,5920
President/Vice President,,Over Votes,,county,Guthrie,,4
President/Vice President,,Under Votes,,county,Guthrie,,28
President/Vice President,,Write-In,,county,Guthrie,,33
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Guthrie,,9
President/Vice President,,James Harris,Socialist Workers Party,county,Guthrie,,5
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Guthrie,,0
President/Vice President,,Gary Johnson,Libertarian,county,Guthrie,,74
President/Vice President,,Jill Stein,Iowa Green Party,county,Guthrie,,15
President/Vice President,,Virgil Goode,Constitution,county,Guthrie,,12
President/Vice President,,Barack Obama,Democratic,county,Guthrie,,2569
President/Vice President,,Mitt Romney,Republican,county,Guthrie,,3171
President/Vice President,,Total,,county,Hamilton,,7979
President/Vice President,,Over Votes,,county,Hamilton,,10
President/Vice President,,Under Votes,,county,Hamilton,,42
President/Vice President,,Write-In,,county,Hamilton,,43
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Hamilton,,9
President/Vice President,,James Harris,Socialist Workers Party,county,Hamilton,,0
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Hamilton,,0
President/Vice President,,Gary Johnson,Libertarian,county,Hamilton,,54
President/Vice President,,Jill Stein,Iowa Green Party,county,Hamilton,,19
President/Vice President,,Virgil Goode,Constitution,county,Hamilton,,29
President/Vice President,,Barack Obama,Democratic,county,Hamilton,,3782
President/Vice President,,Mitt Romney,Republican,county,Hamilton,,3991
President/Vice President,,Total,,county,Hancock,,5946
President/Vice President,,Over Votes,,county,Hancock,,3
President/Vice President,,Under Votes,,county,Hancock,,18
President/Vice President,,Write-In,,county,Hancock,,17
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Hancock,,2
President/Vice President,,James Harris,Socialist Workers Party,county,Hancock,,1
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Hancock,,2
President/Vice President,,Gary Johnson,Libertarian,county,Hancock,,39
President/Vice President,,Jill Stein,Iowa Green Party,county,Hancock,,16
President/Vice President,,Virgil Goode,Constitution,county,Hancock,,10
President/Vice President,,Barack Obama,Democratic,county,Hancock,,2521
President/Vice President,,Mitt Romney,Republican,county,Hancock,,3317
President/Vice President,,Total,,county,Hardin,,8942
President/Vice President,,Over Votes,,county,Hardin,,6
President/Vice President,,Under Votes,,county,Hardin,,38
President/Vice President,,Write-In,,county,Hardin,,46
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Hardin,,8
President/Vice President,,James Harris,Socialist Workers Party,county,Hardin,,5
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Hardin,,0
President/Vice President,,Gary Johnson,Libertarian,county,Hardin,,53
President/Vice President,,Jill Stein,Iowa Green Party,county,Hardin,,17
President/Vice President,,Virgil Goode,Constitution,county,Hardin,,24
President/Vice President,,Barack Obama,Democratic,county,Hardin,,4075
President/Vice President,,Mitt Romney,Republican,county,Hardin,,4670
President/Vice President,,Total,,county,Harrison,,7357
President/Vice President,,Over Votes,,county,Harrison,,5
President/Vice President,,Under Votes,,county,Harrison,,30
President/Vice President,,Write-In,,county,Harrison,,29
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Harrison,,5
President/Vice President,,James Harris,Socialist Workers Party,county,Harrison,,3
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Harrison,,2
President/Vice President,,Gary Johnson,Libertarian,county,Harrison,,52
President/Vice President,,Jill Stein,Iowa Green Party,county,Harrison,,15
President/Vice President,,Virgil Goode,Constitution,county,Harrison,,15
President/Vice President,,Barack Obama,Democratic,county,Harrison,,3136
President/Vice President,,Mitt Romney,Republican,county,Harrison,,4065
President/Vice President,,Total,,county,Henry,,9786
President/Vice President,,Over Votes,,county,Henry,,18
President/Vice President,,Under Votes,,county,Henry,,71
President/Vice President,,Write-In,,county,Henry,,65
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Henry,,12
President/Vice President,,James Harris,Socialist Workers Party,county,Henry,,4
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Henry,,3
President/Vice President,,Gary Johnson,Libertarian,county,Henry,,66
President/Vice President,,Jill Stein,Iowa Green Party,county,Henry,,27
President/Vice President,,Virgil Goode,Constitution,county,Henry,,25
President/Vice President,,Barack Obama,Democratic,county,Henry,,4460
President/Vice President,,Mitt Romney,Republican,county,Henry,,5035
President/Vice President,,Total,,county,Howard,,4665
President/Vice President,,Over Votes,,county,Howard,,3
President/Vice President,,Under Votes,,county,Howard,,17
President/Vice President,,Write-In,,county,Howard,,17
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Howard,,3
President/Vice President,,James Harris,Socialist Workers Party,county,Howard,,0
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Howard,,3
President/Vice President,,Gary Johnson,Libertarian,county,Howard,,41
President/Vice President,,Jill Stein,Iowa Green Party,county,Howard,,10
President/Vice President,,Virgil Goode,Constitution,county,Howard,,8
President/Vice President,,Barack Obama,Democratic,county,Howard,,2768
President/Vice President,,Mitt Romney,Republican,county,Howard,,1795
President/Vice President,,Total,,county,Humboldt,,5189
President/Vice President,,Over Votes,,county,Humboldt,,9
President/Vice President,,Under Votes,,county,Humboldt,,22
President/Vice President,,Write-In,,county,Humboldt,,29
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Humboldt,,7
President/Vice President,,James Harris,Socialist Workers Party,county,Humboldt,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Humboldt,,2
President/Vice President,,Gary Johnson,Libertarian,county,Humboldt,,23
President/Vice President,,Jill Stein,Iowa Green Party,county,Humboldt,,13
President/Vice President,,Virgil Goode,Constitution,county,Humboldt,,11
President/Vice President,,Barack Obama,Democratic,county,Humboldt,,1972
President/Vice President,,Mitt Romney,Republican,county,Humboldt,,3099
President/Vice President,,Total,,county,Ida,,3688
President/Vice President,,Over Votes,,county,Ida,,1
President/Vice President,,Under Votes,,county,Ida,,24
President/Vice President,,Write-In,,county,Ida,,21
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Ida,,2
President/Vice President,,James Harris,Socialist Workers Party,county,Ida,,3
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Ida,,0
President/Vice President,,Gary Johnson,Libertarian,county,Ida,,14
President/Vice President,,Jill Stein,Iowa Green Party,county,Ida,,9
President/Vice President,,Virgil Goode,Constitution,county,Ida,,7
President/Vice President,,Barack Obama,Democratic,county,Ida,,1321
President/Vice President,,Mitt Romney,Republican,county,Ida,,2286
President/Vice President,,Total,,county,Iowa,,8901
President/Vice President,,Over Votes,,county,Iowa,,9
President/Vice President,,Under Votes,,county,Iowa,,26
President/Vice President,,Write-In,,county,Iowa,,34
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Iowa,,6
President/Vice President,,James Harris,Socialist Workers Party,county,Iowa,,3
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Iowa,,3
President/Vice President,,Gary Johnson,Libertarian,county,Iowa,,52
President/Vice President,,Jill Stein,Iowa Green Party,county,Iowa,,27
President/Vice President,,Virgil Goode,Constitution,county,Iowa,,28
President/Vice President,,Barack Obama,Democratic,county,Iowa,,4144
President/Vice President,,Mitt Romney,Republican,county,Iowa,,4569
President/Vice President,,Total,,county,Jasper,,19606
President/Vice President,,Over Votes,,county,Jasper,,20
President/Vice President,,Under Votes,,county,Jasper,,71
President/Vice President,,Write-In,,county,Jasper,,103
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Jasper,,23
President/Vice President,,James Harris,Socialist Workers Party,county,Jasper,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Jasper,,3
President/Vice President,,Gary Johnson,Libertarian,county,Jasper,,149
President/Vice President,,Jill Stein,Iowa Green Party,county,Jasper,,42
President/Vice President,,Virgil Goode,Constitution,county,Jasper,,59
President/Vice President,,Barack Obama,Democratic,county,Jasper,,10257
President/Vice President,,Mitt Romney,Republican,county,Jasper,,8877
President/Vice President,,Total,,county,Jefferson,,8584
President/Vice President,,Over Votes,,county,Jefferson,,13
President/Vice President,,Under Votes,,county,Jefferson,,41
President/Vice President,,Write-In,,county,Jefferson,,91
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Jefferson,,3
President/Vice President,,James Harris,Socialist Workers Party,county,Jefferson,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Jefferson,,3
President/Vice President,,Gary Johnson,Libertarian,county,Jefferson,,126
President/Vice President,,Jill Stein,Iowa Green Party,county,Jefferson,,59
President/Vice President,,Virgil Goode,Constitution,county,Jefferson,,12
President/Vice President,,Barack Obama,Democratic,county,Jefferson,,4798
President/Vice President,,Mitt Romney,Republican,county,Jefferson,,3436
President/Vice President,,Total,,county,Johnson,,76199
President/Vice President,,Over Votes,,county,Johnson,,107
President/Vice President,,Under Votes,,county,Johnson,,115
President/Vice President,,Write-In,,county,Johnson,,320
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Johnson,,26
President/Vice President,,James Harris,Socialist Workers Party,county,Johnson,,11
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Johnson,,10
President/Vice President,,Gary Johnson,Libertarian,county,Johnson,,846
President/Vice President,,Jill Stein,Iowa Green Party,county,Johnson,,333
President/Vice President,,Virgil Goode,Constitution,county,Johnson,,67
President/Vice President,,Barack Obama,Democratic,county,Johnson,,50666
President/Vice President,,Mitt Romney,Republican,county,Johnson,,23698
President/Vice President,,Total,,county,Jones,,10492
President/Vice President,,Over Votes,,county,Jones,,8
President/Vice President,,Under Votes,,county,Jones,,35
President/Vice President,,Write-In,,county,Jones,,49
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Jones,,5
President/Vice President,,James Harris,Socialist Workers Party,county,Jones,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Jones,,0
President/Vice President,,Gary Johnson,Libertarian,county,Jones,,83
President/Vice President,,Jill Stein,Iowa Green Party,county,Jones,,23
President/Vice President,,Virgil Goode,Constitution,county,Jones,,32
President/Vice President,,Barack Obama,Democratic,county,Jones,,5534
President/Vice President,,Mitt Romney,Republican,county,Jones,,4721
President/Vice President,,Total,,county,Keokuk,,5324
President/Vice President,,Over Votes,,county,Keokuk,,10
President/Vice President,,Under Votes,,county,Keokuk,,48
President/Vice President,,Write-In,,county,Keokuk,,35
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Keokuk,,7
President/Vice President,,James Harris,Socialist Workers Party,county,Keokuk,,1
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Keokuk,,3
President/Vice President,,Gary Johnson,Libertarian,county,Keokuk,,36
President/Vice President,,Jill Stein,Iowa Green Party,county,Keokuk,,21
President/Vice President,,Virgil Goode,Constitution,county,Keokuk,,17
President/Vice President,,Barack Obama,Democratic,county,Keokuk,,2303
President/Vice President,,Mitt Romney,Republican,county,Keokuk,,2843
President/Vice President,,Total,,county,Kossuth,,8987
President/Vice President,,Over Votes,,county,Kossuth,,14
President/Vice President,,Under Votes,,county,Kossuth,,50
President/Vice President,,Write-In,,county,Kossuth,,39
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Kossuth,,9
President/Vice President,,James Harris,Socialist Workers Party,county,Kossuth,,3
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Kossuth,,3
President/Vice President,,Gary Johnson,Libertarian,county,Kossuth,,43
President/Vice President,,Jill Stein,Iowa Green Party,county,Kossuth,,22
President/Vice President,,Virgil Goode,Constitution,county,Kossuth,,17
President/Vice President,,Barack Obama,Democratic,county,Kossuth,,3850
President/Vice President,,Mitt Romney,Republican,county,Kossuth,,4937
President/Vice President,,Total,,county,Lee,,19091
President/Vice President,,Over Votes,,county,Lee,,31
President/Vice President,,Under Votes,,county,Lee,,149
President/Vice President,,Write-In,,county,Lee,,116
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Lee,,18
President/Vice President,,James Harris,Socialist Workers Party,county,Lee,,6
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Lee,,6
President/Vice President,,Gary Johnson,Libertarian,county,Lee,,161
President/Vice President,,Jill Stein,Iowa Green Party,county,Lee,,50
President/Vice President,,Virgil Goode,Constitution,county,Lee,,55
President/Vice President,,Barack Obama,Democratic,county,Lee,,10714
President/Vice President,,Mitt Romney,Republican,county,Lee,,7785
President/Vice President,,Total,,county,Linn,,118711
President/Vice President,,Over Votes,,county,Linn,,54
President/Vice President,,Under Votes,,county,Linn,,204
President/Vice President,,Write-In,,county,Linn,,576
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Linn,,46
President/Vice President,,James Harris,Socialist Workers Party,county,Linn,,12
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Linn,,17
President/Vice President,,Gary Johnson,Libertarian,county,Linn,,1230
President/Vice President,,Jill Stein,Iowa Green Party,county,Linn,,221
President/Vice President,,Virgil Goode,Constitution,county,Linn,,148
President/Vice President,,Barack Obama,Democratic,county,Linn,,68581
President/Vice President,,Mitt Romney,Republican,county,Linn,,47622
President/Vice President,,Total,,county,Louisa,,5008
President/Vice President,,Over Votes,,county,Louisa,,16
President/Vice President,,Under Votes,,county,Louisa,,24
President/Vice President,,Write-In,,county,Louisa,,39
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Louisa,,4
President/Vice President,,James Harris,Socialist Workers Party,county,Louisa,,1
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Louisa,,0
President/Vice President,,Gary Johnson,Libertarian,county,Louisa,,20
President/Vice President,,Jill Stein,Iowa Green Party,county,Louisa,,11
President/Vice President,,Virgil Goode,Constitution,county,Louisa,,21
President/Vice President,,Barack Obama,Democratic,county,Louisa,,2452
President/Vice President,,Mitt Romney,Republican,county,Louisa,,2420
President/Vice President,,Total,,county,Lucas,,4364
President/Vice President,,Over Votes,,county,Lucas,,10
President/Vice President,,Under Votes,,county,Lucas,,31
President/Vice President,,Write-In,,county,Lucas,,34
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Lucas,,4
President/Vice President,,James Harris,Socialist Workers Party,county,Lucas,,1
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Lucas,,1
President/Vice President,,Gary Johnson,Libertarian,county,Lucas,,20
President/Vice President,,Jill Stein,Iowa Green Party,county,Lucas,,4
President/Vice President,,Virgil Goode,Constitution,county,Lucas,,18
President/Vice President,,Barack Obama,Democratic,county,Lucas,,1987
President/Vice President,,Mitt Romney,Republican,county,Lucas,,2254
President/Vice President,,Total,,county,Lyon,,6581
President/Vice President,,Over Votes,,county,Lyon,,9
President/Vice President,,Under Votes,,county,Lyon,,63
President/Vice President,,Write-In,,county,Lyon,,23
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Lyon,,6
President/Vice President,,James Harris,Socialist Workers Party,county,Lyon,,2
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Lyon,,1
President/Vice President,,Gary Johnson,Libertarian,county,Lyon,,39
President/Vice President,,Jill Stein,Iowa Green Party,county,Lyon,,14
President/Vice President,,Virgil Goode,Constitution,county,Lyon,,23
President/Vice President,,Barack Obama,Democratic,county,Lyon,,1423
President/Vice President,,Mitt Romney,Republican,county,Lyon,,4978
President/Vice President,,Total,,county,Mahaska,,10951
President/Vice President,,Over Votes,,county,Mahaska,,20
President/Vice President,,Under Votes,,county,Mahaska,,48
President/Vice President,,Write-In,,county,Mahaska,,71
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Mahaska,,5
President/Vice President,,James Harris,Socialist Workers Party,county,Mahaska,,1
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Mahaska,,5
President/Vice President,,Gary Johnson,Libertarian,county,Mahaska,,82
President/Vice President,,Jill Stein,Iowa Green Party,county,Mahaska,,28
President/Vice President,,Virgil Goode,Constitution,county,Mahaska,,30
President/Vice President,,Barack Obama,Democratic,county,Mahaska,,4213
President/Vice President,,Mitt Romney,Republican,county,Mahaska,,6448
President/Vice President,,Total,,county,Marion,,17752
President/Vice President,,Over Votes,,county,Marion,,5
President/Vice President,,Under Votes,,county,Marion,,60
President/Vice President,,Write-In,,county,Marion,,104
President/Vice President,,Jerry Litzel,Nominated by Petition,county,Marion,,9
President/Vice President,,James Harris,Socialist Workers Party,county,Marion,,7
President/Vice President,,Gloria LaRiva,Party for Socialism and Liberation,county,Marion,,10
President/Vice President,,Gary Johnson,Libertarian,county,Marion,,149
