county,precinct,office,district,party,candidate,absentee,polling,votes,check
Delaware,Adams/Hazel Green,U.S. Senator,,Rep,Sam Clovis,0,1,1,TRUE
Delaware,Colony,U.S. Senator,,Rep,Sam Clovis,0,1,1,TRUE
Delaware,Delaware,U.S. Senator,,Rep,Sam Clovis,0,1,1,TRUE
Delaware,Delhi/Delaware Corp,U.S. Senator,,Rep,Sam Clovis,1,2,3,TRUE
Delaware,Honey Creek/Elk,U.S. Senator,,Rep,Sam Clovis,0,3,3,TRUE
Delaware,Manchester Ward 1,U.S. Senator,,Rep,Sam Clovis,1,1,2,TRUE
Delaware,Manchester Ward 2,U.S. Senator,,Rep,Sam Clovis,1,0,1,TRUE
Delaware,Manchester Ward 3,U.S. Senator,,Rep,Sam Clovis,0,4,4,TRUE
Delaware,Milo/Prairie,U.S. Senator,,Rep,Sam Clovis,0,6,6,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Senator,,Rep,Sam Clovis,1,9,10,TRUE
Delaware,Richland/Coffins Grove,U.S. Senator,,Rep,Sam Clovis,0,3,3,TRUE
Delaware,South Fork/Union,U.S. Senator,,Rep,Sam Clovis,0,3,3,TRUE
Delaware,Adams/Hazel Green,U.S. Senator,,Rep,Joni Ernst,0,39,39,TRUE
Delaware,Colony,U.S. Senator,,Rep,Joni Ernst,1,33,34,TRUE
Delaware,Delaware,U.S. Senator,,Rep,Joni Ernst,3,39,42,TRUE
Delaware,Delhi/Delaware Corp,U.S. Senator,,Rep,Joni Ernst,5,36,41,TRUE
Delaware,Honey Creek/Elk,U.S. Senator,,Rep,Joni Ernst,1,36,37,TRUE
Delaware,Manchester Ward 1,U.S. Senator,,Rep,Joni Ernst,6,20,26,TRUE
Delaware,Manchester Ward 2,U.S. Senator,,Rep,Joni Ernst,7,60,67,TRUE
Delaware,Manchester Ward 3,U.S. Senator,,Rep,Joni Ernst,5,47,52,TRUE
Delaware,Milo/Prairie,U.S. Senator,,Rep,Joni Ernst,5,62,67,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Senator,,Rep,Joni Ernst,0,46,46,TRUE
Delaware,Richland/Coffins Grove,U.S. Senator,,Rep,Joni Ernst,2,33,35,TRUE
Delaware,South Fork/Union,U.S. Senator,,Rep,Joni Ernst,1,27,28,TRUE
Delaware,Adams/Hazel Green,U.S. Senator,,Rep,Mark Jacobs,0,8,8,TRUE
Delaware,Colony,U.S. Senator,,Rep,Mark Jacobs,0,5,5,TRUE
Delaware,Delaware,U.S. Senator,,Rep,Mark Jacobs,2,9,11,TRUE
Delaware,Delhi/Delaware Corp,U.S. Senator,,Rep,Mark Jacobs,4,17,21,TRUE
Delaware,Honey Creek/Elk,U.S. Senator,,Rep,Mark Jacobs,2,6,8,TRUE
Delaware,Manchester Ward 1,U.S. Senator,,Rep,Mark Jacobs,1,15,16,TRUE
Delaware,Manchester Ward 2,U.S. Senator,,Rep,Mark Jacobs,3,22,25,TRUE
Delaware,Manchester Ward 3,U.S. Senator,,Rep,Mark Jacobs,3,14,17,TRUE
Delaware,Milo/Prairie,U.S. Senator,,Rep,Mark Jacobs,1,15,16,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Senator,,Rep,Mark Jacobs,0,19,19,TRUE
Delaware,Richland/Coffins Grove,U.S. Senator,,Rep,Mark Jacobs,2,4,6,TRUE
Delaware,South Fork/Union,U.S. Senator,,Rep,Mark Jacobs,3,12,15,TRUE
Delaware,Adams/Hazel Green,U.S. Senator,,Rep,Scott Schaben,0,0,0,TRUE
Delaware,Colony,U.S. Senator,,Rep,Scott Schaben,0,0,0,TRUE
Delaware,Delaware,U.S. Senator,,Rep,Scott Schaben,0,1,1,TRUE
Delaware,Delhi/Delaware Corp,U.S. Senator,,Rep,Scott Schaben,1,0,1,TRUE
Delaware,Honey Creek/Elk,U.S. Senator,,Rep,Scott Schaben,0,1,1,TRUE
Delaware,Manchester Ward 1,U.S. Senator,,Rep,Scott Schaben,0,0,0,TRUE
Delaware,Manchester Ward 2,U.S. Senator,,Rep,Scott Schaben,0,0,0,TRUE
Delaware,Manchester Ward 3,U.S. Senator,,Rep,Scott Schaben,0,2,2,TRUE
Delaware,Milo/Prairie,U.S. Senator,,Rep,Scott Schaben,0,0,0,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Senator,,Rep,Scott Schaben,0,0,0,TRUE
Delaware,Richland/Coffins Grove,U.S. Senator,,Rep,Scott Schaben,0,0,0,TRUE
Delaware,South Fork/Union,U.S. Senator,,Rep,Scott Schaben,0,0,0,TRUE
Delaware,Adams/Hazel Green,U.S. Senator,,Rep,Matt Whitaker,0,2,2,TRUE
Delaware,Colony,U.S. Senator,,Rep,Matt Whitaker,0,2,2,TRUE
Delaware,Delaware,U.S. Senator,,Rep,Matt Whitaker,0,2,2,TRUE
Delaware,Delhi/Delaware Corp,U.S. Senator,,Rep,Matt Whitaker,2,3,5,TRUE
Delaware,Honey Creek/Elk,U.S. Senator,,Rep,Matt Whitaker,0,1,1,TRUE
Delaware,Manchester Ward 1,U.S. Senator,,Rep,Matt Whitaker,0,3,3,TRUE
Delaware,Manchester Ward 2,U.S. Senator,,Rep,Matt Whitaker,2,2,4,TRUE
Delaware,Manchester Ward 3,U.S. Senator,,Rep,Matt Whitaker,0,3,3,TRUE
Delaware,Milo/Prairie,U.S. Senator,,Rep,Matt Whitaker,0,12,12,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Senator,,Rep,Matt Whitaker,0,1,1,TRUE
Delaware,Richland/Coffins Grove,U.S. Senator,,Rep,Matt Whitaker,1,5,6,TRUE
Delaware,South Fork/Union,U.S. Senator,,Rep,Matt Whitaker,0,0,0,TRUE
Delaware,Adams/Hazel Green,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,Colony,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,Delaware,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,Delhi/Delaware Corp,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,Honey Creek/Elk,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 1,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 2,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 3,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,Milo/Prairie,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,Richland/Coffins Grove,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,South Fork/Union,U.S. Senator,,Rep,Write-in,0,0,0,TRUE
Delaware,Adams/Hazel Green,U.S. Senator,,Dem,Bruce Braley,0,12,12,TRUE
Delaware,Colony,U.S. Senator,,Dem,Bruce Braley,0,14,14,TRUE
Delaware,Delaware,U.S. Senator,,Dem,Bruce Braley,1,2,3,TRUE
Delaware,Delhi/Delaware Corp,U.S. Senator,,Dem,Bruce Braley,15,8,23,TRUE
Delaware,Honey Creek/Elk,U.S. Senator,,Dem,Bruce Braley,5,15,20,TRUE
Delaware,Manchester Ward 1,U.S. Senator,,Dem,Bruce Braley,1,20,21,TRUE
Delaware,Manchester Ward 2,U.S. Senator,,Dem,Bruce Braley,15,19,34,TRUE
Delaware,Manchester Ward 3,U.S. Senator,,Dem,Bruce Braley,11,19,30,TRUE
Delaware,Milo/Prairie,U.S. Senator,,Dem,Bruce Braley,5,24,29,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Senator,,Dem,Bruce Braley,5,16,21,TRUE
Delaware,Richland/Coffins Grove,U.S. Senator,,Dem,Bruce Braley,4,27,31,TRUE
Delaware,South Fork/Union,U.S. Senator,,Dem,Bruce Braley,2,11,13,TRUE
Delaware,Adams/Hazel Green,U.S. Senator,,Dem,Write-in,0,0,0,TRUE
Delaware,Colony,U.S. Senator,,Dem,Write-in,0,0,0,TRUE
Delaware,Delaware,U.S. Senator,,Dem,Write-in,0,0,0,TRUE
Delaware,Delhi/Delaware Corp,U.S. Senator,,Dem,Write-in,0,0,0,TRUE
Delaware,Honey Creek/Elk,U.S. Senator,,Dem,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 1,U.S. Senator,,Dem,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 2,U.S. Senator,,Dem,Write-in,0,1,1,TRUE
Delaware,Manchester Ward 3,U.S. Senator,,Dem,Write-in,0,0,0,TRUE
Delaware,Milo/Prairie,U.S. Senator,,Dem,Write-in,0,0,0,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Senator,,Dem,Write-in,0,0,0,TRUE
Delaware,Richland/Coffins Grove,U.S. Senator,,Dem,Write-in,0,1,1,TRUE
Delaware,South Fork/Union,U.S. Senator,,Dem,Write-in,0,1,1,TRUE
Delaware,Adams/Hazel Green,U.S. Rep.,1,Rep,Rod Blum,0,27,27,TRUE
Delaware,Colony,U.S. Rep.,1,Rep,Rod Blum,0,29,29,TRUE
Delaware,Delaware,U.S. Rep.,1,Rep,Rod Blum,3,23,26,TRUE
Delaware,Delhi/Delaware Corp,U.S. Rep.,1,Rep,Rod Blum,5,29,34,TRUE
Delaware,Honey Creek/Elk,U.S. Rep.,1,Rep,Rod Blum,3,25,28,TRUE
Delaware,Manchester Ward 1,U.S. Rep.,1,Rep,Rod Blum,4,24,28,TRUE
Delaware,Manchester Ward 2,U.S. Rep.,1,Rep,Rod Blum,4,53,57,TRUE
Delaware,Manchester Ward 3,U.S. Rep.,1,Rep,Rod Blum,5,41,46,TRUE
Delaware,Milo/Prairie,U.S. Rep.,1,Rep,Rod Blum,3,50,53,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Rep.,1,Rep,Rod Blum,1,57,58,TRUE
Delaware,Richland/Coffins Grove,U.S. Rep.,1,Rep,Rod Blum,3,25,28,TRUE
Delaware,South Fork/Union,U.S. Rep.,1,Rep,Rod Blum,3,28,31,TRUE
Delaware,Adams/Hazel Green,U.S. Rep.,1,Rep,Gail E. Boliver,0,2,2,TRUE
Delaware,Colony,U.S. Rep.,1,Rep,Gail E. Boliver,0,1,1,TRUE
Delaware,Delaware,U.S. Rep.,1,Rep,Gail E. Boliver,0,0,0,TRUE
Delaware,Delhi/Delaware Corp,U.S. Rep.,1,Rep,Gail E. Boliver,2,4,6,TRUE
Delaware,Honey Creek/Elk,U.S. Rep.,1,Rep,Gail E. Boliver,0,3,3,TRUE
Delaware,Manchester Ward 1,U.S. Rep.,1,Rep,Gail E. Boliver,0,1,1,TRUE
Delaware,Manchester Ward 2,U.S. Rep.,1,Rep,Gail E. Boliver,1,0,1,TRUE
Delaware,Manchester Ward 3,U.S. Rep.,1,Rep,Gail E. Boliver,0,3,3,TRUE
Delaware,Milo/Prairie,U.S. Rep.,1,Rep,Gail E. Boliver,0,3,3,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Rep.,1,Rep,Gail E. Boliver,0,2,2,TRUE
Delaware,Richland/Coffins Grove,U.S. Rep.,1,Rep,Gail E. Boliver,0,2,2,TRUE
Delaware,South Fork/Union,U.S. Rep.,1,Rep,Gail E. Boliver,0,1,1,TRUE
Delaware,Adams/Hazel Green,U.S. Rep.,1,Rep,Steve Rathje,0,13,13,TRUE
Delaware,Colony,U.S. Rep.,1,Rep,Steve Rathje,0,9,9,TRUE
Delaware,Delaware,U.S. Rep.,1,Rep,Steve Rathje,1,25,26,TRUE
Delaware,Delhi/Delaware Corp,U.S. Rep.,1,Rep,Steve Rathje,6,23,29,TRUE
Delaware,Honey Creek/Elk,U.S. Rep.,1,Rep,Steve Rathje,0,15,15,TRUE
Delaware,Manchester Ward 1,U.S. Rep.,1,Rep,Steve Rathje,4,8,12,TRUE
Delaware,Manchester Ward 2,U.S. Rep.,1,Rep,Steve Rathje,5,28,33,TRUE
Delaware,Manchester Ward 3,U.S. Rep.,1,Rep,Steve Rathje,3,24,27,TRUE
Delaware,Milo/Prairie,U.S. Rep.,1,Rep,Steve Rathje,3,41,44,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Rep.,1,Rep,Steve Rathje,0,16,16,TRUE
Delaware,Richland/Coffins Grove,U.S. Rep.,1,Rep,Steve Rathje,2,15,17,TRUE
Delaware,South Fork/Union,U.S. Rep.,1,Rep,Steve Rathje,1,12,13,TRUE
Delaware,Adams/Hazel Green,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,Colony,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,Delaware,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,Delhi/Delaware Corp,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,Honey Creek/Elk,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 1,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 2,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 3,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,Milo/Prairie,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,Richland/Coffins Grove,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,South Fork/Union,U.S. Rep.,1,Rep,Write-in,0,0,0,TRUE
Delaware,Adams/Hazel Green,U.S. Rep.,1,Dem,Swati Dandekar,0,4,4,TRUE
Delaware,Colony,U.S. Rep.,1,Dem,Swati Dandekar,0,3,3,TRUE
Delaware,Delaware,U.S. Rep.,1,Dem,Swati Dandekar,1,1,2,TRUE
Delaware,Delhi/Delaware Corp,U.S. Rep.,1,Dem,Swati Dandekar,3,2,5,TRUE
Delaware,Honey Creek/Elk,U.S. Rep.,1,Dem,Swati Dandekar,1,3,4,TRUE
Delaware,Manchester Ward 1,U.S. Rep.,1,Dem,Swati Dandekar,0,6,6,TRUE
Delaware,Manchester Ward 2,U.S. Rep.,1,Dem,Swati Dandekar,3,2,5,TRUE
Delaware,Manchester Ward 3,U.S. Rep.,1,Dem,Swati Dandekar,1,2,3,TRUE
Delaware,Milo/Prairie,U.S. Rep.,1,Dem,Swati Dandekar,1,7,8,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Rep.,1,Dem,Swati Dandekar,0,2,2,TRUE
Delaware,Richland/Coffins Grove,U.S. Rep.,1,Dem,Swati Dandekar,0,3,3,TRUE
Delaware,South Fork/Union,U.S. Rep.,1,Dem,Swati Dandekar,0,2,2,TRUE
Delaware,Adams/Hazel Green,U.S. Rep.,1,Dem,Anesa Kajtazovic,0,0,0,TRUE
Delaware,Colony,U.S. Rep.,1,Dem,Anesa Kajtazovic,0,0,0,TRUE
Delaware,Delaware,U.S. Rep.,1,Dem,Anesa Kajtazovic,0,0,0,TRUE
Delaware,Delhi/Delaware Corp,U.S. Rep.,1,Dem,Anesa Kajtazovic,0,0,0,TRUE
Delaware,Honey Creek/Elk,U.S. Rep.,1,Dem,Anesa Kajtazovic,1,0,1,TRUE
Delaware,Manchester Ward 1,U.S. Rep.,1,Dem,Anesa Kajtazovic,0,0,0,TRUE
Delaware,Manchester Ward 2,U.S. Rep.,1,Dem,Anesa Kajtazovic,1,1,2,TRUE
Delaware,Manchester Ward 3,U.S. Rep.,1,Dem,Anesa Kajtazovic,0,0,0,TRUE
Delaware,Milo/Prairie,U.S. Rep.,1,Dem,Anesa Kajtazovic,0,3,3,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Rep.,1,Dem,Anesa Kajtazovic,0,0,0,TRUE
Delaware,Richland/Coffins Grove,U.S. Rep.,1,Dem,Anesa Kajtazovic,0,0,0,TRUE
Delaware,South Fork/Union,U.S. Rep.,1,Dem,Anesa Kajtazovic,0,0,0,TRUE
Delaware,Adams/Hazel Green,U.S. Rep.,1,Dem,Pat Murphy,0,3,3,TRUE
Delaware,Colony,U.S. Rep.,1,Dem,Pat Murphy,0,6,6,TRUE
Delaware,Delaware,U.S. Rep.,1,Dem,Pat Murphy,0,1,1,TRUE
Delaware,Delhi/Delaware Corp,U.S. Rep.,1,Dem,Pat Murphy,7,5,12,TRUE
Delaware,Honey Creek/Elk,U.S. Rep.,1,Dem,Pat Murphy,2,9,11,TRUE
Delaware,Manchester Ward 1,U.S. Rep.,1,Dem,Pat Murphy,1,7,8,TRUE
Delaware,Manchester Ward 2,U.S. Rep.,1,Dem,Pat Murphy,9,9,18,TRUE
Delaware,Manchester Ward 3,U.S. Rep.,1,Dem,Pat Murphy,8,13,21,TRUE
Delaware,Milo/Prairie,U.S. Rep.,1,Dem,Pat Murphy,4,10,14,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Rep.,1,Dem,Pat Murphy,3,10,13,TRUE
Delaware,Richland/Coffins Grove,U.S. Rep.,1,Dem,Pat Murphy,2,22,24,TRUE
Delaware,South Fork/Union,U.S. Rep.,1,Dem,Pat Murphy,0,5,5,TRUE
Delaware,Adams/Hazel Green,U.S. Rep.,1,Dem,Dave O'Brien,0,1,1,TRUE
Delaware,Colony,U.S. Rep.,1,Dem,Dave O'Brien,0,2,2,TRUE
Delaware,Delaware,U.S. Rep.,1,Dem,Dave O'Brien,0,0,0,TRUE
Delaware,Delhi/Delaware Corp,U.S. Rep.,1,Dem,Dave O'Brien,3,0,3,TRUE
Delaware,Honey Creek/Elk,U.S. Rep.,1,Dem,Dave O'Brien,0,2,2,TRUE
Delaware,Manchester Ward 1,U.S. Rep.,1,Dem,Dave O'Brien,0,2,2,TRUE
Delaware,Manchester Ward 2,U.S. Rep.,1,Dem,Dave O'Brien,0,4,4,TRUE
Delaware,Manchester Ward 3,U.S. Rep.,1,Dem,Dave O'Brien,0,1,1,TRUE
Delaware,Milo/Prairie,U.S. Rep.,1,Dem,Dave O'Brien,0,2,2,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Rep.,1,Dem,Dave O'Brien,0,1,1,TRUE
Delaware,Richland/Coffins Grove,U.S. Rep.,1,Dem,Dave O'Brien,0,1,1,TRUE
Delaware,South Fork/Union,U.S. Rep.,1,Dem,Dave O'Brien,0,2,2,TRUE
Delaware,Adams/Hazel Green,U.S. Rep.,1,Dem,Monica Vernon,0,6,6,TRUE
Delaware,Colony,U.S. Rep.,1,Dem,Monica Vernon,0,2,2,TRUE
Delaware,Delaware,U.S. Rep.,1,Dem,Monica Vernon,0,0,0,TRUE
Delaware,Delhi/Delaware Corp,U.S. Rep.,1,Dem,Monica Vernon,2,1,3,TRUE
Delaware,Honey Creek/Elk,U.S. Rep.,1,Dem,Monica Vernon,1,2,3,TRUE
Delaware,Manchester Ward 1,U.S. Rep.,1,Dem,Monica Vernon,0,6,6,TRUE
Delaware,Manchester Ward 2,U.S. Rep.,1,Dem,Monica Vernon,2,2,4,TRUE
Delaware,Manchester Ward 3,U.S. Rep.,1,Dem,Monica Vernon,2,4,6,TRUE
Delaware,Milo/Prairie,U.S. Rep.,1,Dem,Monica Vernon,0,4,4,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Rep.,1,Dem,Monica Vernon,2,4,6,TRUE
Delaware,Richland/Coffins Grove,U.S. Rep.,1,Dem,Monica Vernon,2,2,4,TRUE
Delaware,South Fork/Union,U.S. Rep.,1,Dem,Monica Vernon,2,5,7,TRUE
Delaware,Adams/Hazel Green,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,Colony,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,Delaware,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,Delhi/Delaware Corp,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,Honey Creek/Elk,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 1,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 2,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 3,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,Milo/Prairie,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,Richland/Coffins Grove,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,South Fork/Union,U.S. Rep.,1,Dem,Write-in,0,0,0,TRUE
Delaware,Adams/Hazel Green,Governor,,Rep,Terry E. Branstad,0,43,43,TRUE
Delaware,Colony,Governor,,Rep,Terry E. Branstad,1,36,37,TRUE
Delaware,Delaware,Governor,,Rep,Terry E. Branstad,4,44,48,TRUE
Delaware,Delhi/Delaware Corp,Governor,,Rep,Terry E. Branstad,13,50,63,TRUE
Delaware,Honey Creek/Elk,Governor,,Rep,Terry E. Branstad,3,40,43,TRUE
Delaware,Manchester Ward 1,Governor,,Rep,Terry E. Branstad,6,34,40,TRUE
Delaware,Manchester Ward 2,Governor,,Rep,Terry E. Branstad,12,71,83,TRUE
Delaware,Manchester Ward 3,Governor,,Rep,Terry E. Branstad,7,59,66,TRUE
Delaware,Milo/Prairie,Governor,,Rep,Terry E. Branstad,5,83,88,TRUE
Delaware,Oneida/N Fork/Bremen,Governor,,Rep,Terry E. Branstad,1,57,58,TRUE
Delaware,Richland/Coffins Grove,Governor,,Rep,Terry E. Branstad,4,33,37,TRUE
Delaware,South Fork/Union,Governor,,Rep,Terry E. Branstad,4,33,37,TRUE
Delaware,Adams/Hazel Green,Governor,,Rep,Tom Hoefling,0,6,6,TRUE
Delaware,Colony,Governor,,Rep,Tom Hoefling,0,5,5,TRUE
Delaware,Delaware,Governor,,Rep,Tom Hoefling,0,7,7,TRUE
Delaware,Delhi/Delaware Corp,Governor,,Rep,Tom Hoefling,0,7,7,TRUE
Delaware,Honey Creek/Elk,Governor,,Rep,Tom Hoefling,0,5,5,TRUE
Delaware,Manchester Ward 1,Governor,,Rep,Tom Hoefling,2,3,5,TRUE
Delaware,Manchester Ward 2,Governor,,Rep,Tom Hoefling,1,9,10,TRUE
Delaware,Manchester Ward 3,Governor,,Rep,Tom Hoefling,1,8,9,TRUE
Delaware,Milo/Prairie,Governor,,Rep,Tom Hoefling,0,10,10,TRUE
Delaware,Oneida/N Fork/Bremen,Governor,,Rep,Tom Hoefling,0,17,17,TRUE
Delaware,Richland/Coffins Grove,Governor,,Rep,Tom Hoefling,1,11,12,TRUE
Delaware,South Fork/Union,Governor,,Rep,Tom Hoefling,0,9,9,TRUE
Delaware,Adams/Hazel Green,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,Colony,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,Delaware,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,Delhi/Delaware Corp,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,Honey Creek/Elk,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 1,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 2,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,Manchester Ward 3,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,Milo/Prairie,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,Oneida/N Fork/Bremen,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,Richland/Coffins Grove,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,South Fork/Union,Governor,,Rep,Write-in,0,0,0,TRUE
Delaware,Adams/Hazel Green,Governor,,Dem,Jack Hatch,0,13,13,TRUE
Delaware,Colony,Governor,,Dem,Jack Hatch,0,13,13,TRUE
Delaware,Delaware,Governor,,Dem,Jack Hatch,1,2,3,TRUE
Delaware,Delhi/Delaware Corp,Governor,,Dem,Jack Hatch,14,7,21,TRUE
Delaware,Honey Creek/Elk,Governor,,Dem,Jack Hatch,5,16,21,TRUE
